#
#--------LOG from Wed 08 Jun 2016 at 13h:39m:22s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-1.0581e-10	1465410959
  -9.965	-4.3587e-09	1465410964
 -19.944	-5.7532e-09	1465410969
 -29.941	-6.7873e-09	1465410974
 -39.935	-7.8833e-09	1465410979
 -49.933	-9.0125e-09	1465410984
 -59.913	-1.3459e-08	1465410989
 -69.912	-3.1246e-08	1465410994
 -79.926	-4.1100e-08	1465410999
 -89.923	-4.5840e-08	1465411004
 -99.938	-4.8332e-08	1465411009
-109.952	-4.9878e-08	1465411014
-119.962	-5.1431e-08	1465411019
-129.959	-5.2772e-08	1465411024
-139.974	-5.4095e-08	1465411029
-149.986	-5.5414e-08	1465411034
-159.984	-5.6920e-08	1465411039
-169.963	-5.8149e-08	1465411044
-179.961	-5.9418e-08	1465411049
-189.953	-6.0690e-08	1465411054
-199.951	-6.2402e-08	1465411059
-209.929	-6.3662e-08	1465411064
-219.927	-6.4608e-08	1465411069
-229.939	-6.5492e-08	1465411074
-239.954	-6.7235e-08	1465411079
-249.952	-7.4738e-08	1465411084
-259.967	-2.2456e-06	1465411097
-269.981	-4.6895e-06	1465411102
-279.981	-8.1957e-06	1465411107
-289.988	-1.3669e-05	1465411116
-300.004	-1.8865e-05	1465411121
-310.003	-2.5078e-05	1465411126
-319.983	-3.2210e-05	1465411131
-329.981	-4.0354e-05	1465411136
-339.975	-4.9735e-05	1465411141
-349.974	-6.0645e-05	1465411146
-359.955	-7.2982e-05	1465411151
-369.954	-8.7008e-05	1465411156
-375.731	-9.9998e-05	1465411161
