#
#--------LOG from Thu 09 Jun 2016 at 19h:16m:46s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	-1.2370e-08	1465517496
  -9.968	-9.0926e-08	1465517501
 -19.948	-1.3691e-07	1465517506
 -29.946	-1.7467e-07	1465517511
 -39.940	-2.0816e-07	1465517516
 -49.938	-2.3896e-07	1465517521
 -59.918	-2.7125e-07	1465517526
 -69.916	-3.0584e-07	1465517531
 -79.931	-3.3487e-07	1465517536
 -89.927	-3.6129e-07	1465517541
 -99.944	-3.8721e-07	1465517546
-109.959	-4.1244e-07	1465517551
-119.970	-4.3736e-07	1465517556
-129.967	-4.6150e-07	1465517561
-139.982	-4.8554e-07	1465517566
-149.994	-5.0911e-07	1465517571
-159.992	-5.3297e-07	1465517576
-169.971	-5.5577e-07	1465517581
-179.969	-5.7820e-07	1465517586
-189.962	-6.0122e-07	1465517591
-199.959	-6.2493e-07	1465517596
-209.939	-6.4905e-07	1465517601
-219.936	-6.7269e-07	1465517606
-229.947	-6.9806e-07	1465517611
-239.963	-7.2644e-07	1465517616
-249.961	-7.5419e-07	1465517622
-259.976	-7.8358e-07	1465517627
-269.987	-8.1474e-07	1465517632
-279.984	-8.4679e-07	1465517637
-289.999	-8.7926e-07	1465517642
-300.016	-9.1325e-07	1465517647
-310.013	-9.4625e-07	1465517652
-319.993	-9.8082e-07	1465517657
-329.980	-1.0178e-06	1465517670
-339.973	-1.0531e-06	1465517675
-349.971	-1.0874e-06	1465517681
-359.950	-1.1194e-06	1465517686
-369.947	-1.1547e-06	1465517691
-379.955	-1.1893e-06	1465517696
-389.970	-1.2213e-06	1465517701
-399.968	-1.2527e-06	1465517706
-409.983	-1.2857e-06	1465517711
-419.995	-1.3179e-06	1465517716
-429.991	-1.3470e-06	1465517721
-440.007	-1.3790e-06	1465517726
-450.021	-1.4088e-06	1465517731
-460.021	-1.4429e-06	1465517736
-470.000	-1.4770e-06	1465517741
-479.998	-1.5106e-06	1465517746
-489.990	-1.5463e-06	1465517751
-499.987	-1.5843e-06	1465517756
-509.966	-1.6236e-06	1465517761
-519.964	-1.6707e-06	1465517766
-529.969	-1.7175e-06	1465517771
-539.987	-1.7683e-06	1465517776
-549.985	-1.8192e-06	1465517781
-560.001	-1.8672e-06	1465517786
-570.012	-1.9206e-06	1465517791
-580.029	-1.9692e-06	1465517796
-590.027	-2.0234e-06	1465517801
-600.044	-2.0771e-06	1465517806
