#
#--------LOG from Mon 01 Feb 2016 at 15h:38m:30s ---------
#
#voltage(V)	current(A)	timestamp
  -0.025	-1.4163e-09	1454362485
 -10.010	-3.5801e-09	1454362490
 -19.996	-4.3973e-09	1454362495
 -29.980	-5.0747e-09	1454362500
 -39.963	-5.7435e-09	1454362505
 -49.948	-6.1520e-09	1454362510
 -59.952	-7.1614e-09	1454362515
 -69.937	-1.6133e-08	1454362520
 -79.946	-2.4195e-08	1454362525
 -89.961	-2.7765e-08	1454362530
 -99.975	-2.9061e-08	1454362535
-109.989	-3.0693e-08	1454362540
-120.001	-3.1613e-08	1454362545
-130.015	-3.3213e-08	1454362550
-140.047	-3.1941e-08	1454362555
-150.056	-3.3799e-08	1454362560
-160.042	-3.4743e-08	1454362565
-170.028	-4.0706e-08	1454362570
-180.012	-3.6429e-08	1454362575
-189.996	-4.4633e-08	1454362580
-199.979	-5.0397e-08	1454362585
-209.964	-4.1675e-08	1454362590
-219.950	-4.5037e-08	1454362595
-229.973	-6.0862e-08	1454362600
-239.988	-4.3914e-08	1454362605
-250.002	-4.7903e-08	1454362610
-260.017	-6.3755e-08	1454362615
-270.029	-5.6366e-08	1454362620
-280.043	-5.5987e-08	1454362625
-290.057	-6.1354e-08	1454362630
-300.071	-8.4993e-08	1454362635
-310.075	-1.5517e-07	1454362640
-320.060	-1.9599e-07	1454362645
-330.045	-1.9511e-07	1454362650
-340.029	-2.1673e-07	1454362655
-350.014	-1.8048e-07	1454362660
-359.997	-9.5737e-08	1454362665
-369.983	-1.2205e-07	1454362670
-379.982	-1.1707e-07	1454362675
-389.998	-2.4071e-07	1454362680
-400.033	-5.0583e-07	1454362685
-410.045	-2.9457e-05	1454362694
-420.057	-3.5825e-05	1454362699
-430.071	-5.9763e-05	1454362704
-439.865	-7.8165e-05	1454362709
