#
#--------LOG from Fri 08 Jan 2016 at 12h:00m:51s ---------
#
#voltage(V)	current(A)	timestamp
  -0.023	-1.6461e-10	1452275750
 -10.008	-3.3275e-09	1452275755
 -19.994	-4.4405e-09	1452275760
 -29.979	-5.0508e-09	1452275765
 -39.962	-5.6870e-09	1452275770
 -49.947	-6.2649e-09	1452275775
 -59.951	-1.1876e-08	1452275780
 -69.936	-1.8773e-08	1452275785
 -79.946	-2.3161e-08	1452275790
 -89.959	-2.5580e-08	1452275796
 -99.974	-2.6768e-08	1452275801
-109.987	-2.7520e-08	1452275806
-119.999	-2.8017e-08	1452275811
-130.014	-2.8384e-08	1452275816
-140.045	-2.8979e-08	1452275821
-150.054	-3.0118e-08	1452275826
-160.040	-3.2274e-08	1452275831
-170.025	-3.3406e-08	1452275836
-180.010	-3.7467e-08	1452275841
-189.993	-3.8657e-08	1452275846
-199.977	-4.1367e-08	1452275851
-209.963	-6.9034e-08	1452275856
-219.948	-6.1468e-08	1452275861
-229.971	-7.7224e-08	1452275866
-239.986	-9.8079e-08	1452275871
-250.001	-1.0783e-07	1452275876
-260.015	-1.2590e-07	1452275881
-270.027	-1.0385e-07	1452275886
-280.041	-1.2294e-07	1452275891
-290.055	-2.0355e-07	1452275896
-300.070	-2.9391e-07	1452275901
-310.074	-4.1741e-07	1452275906
-320.058	-2.9042e-07	1452275911
-330.046	-5.2149e-07	1452275916
-340.031	-6.5662e-07	1452275921
-350.012	-2.7573e-07	1452275926
-359.997	-2.5356e-07	1452275931
-369.984	-4.3141e-07	1452275936
-379.983	-3.9369e-07	1452275941
-389.997	-3.8388e-07	1452275946
-400.029	-4.3452e-07	1452275951
-410.043	-4.6042e-07	1452275956
-420.056	-5.4255e-07	1452275961
-430.069	-5.0201e-07	1452275966
-440.084	-5.6533e-07	1452275971
-450.094	-4.8294e-07	1452275976
-460.085	-5.8616e-07	1452275981
-470.067	-4.5362e-07	1452275986
-480.073	-5.8904e-07	1452275991
-490.058	-7.9675e-07	1452275996
-500.043	-8.5705e-07	1452276001
-510.026	-6.0523e-07	1452276006
-520.011	-6.0894e-07	1452276011
-530.008	-6.4794e-07	1452276016
-540.021	-5.6108e-07	1452276021
-550.036	-5.6526e-07	1452276026
-560.069	-7.1310e-07	1452276031
-570.081	-6.3111e-07	1452276036
-580.095	-6.4167e-07	1452276041
-590.110	-7.8404e-07	1452276046
-600.123	-7.6762e-07	1452276051
