#
#--------LOG from Fri 04 Mar 2016 at 15h:32m:56s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	+8.5823e-11	1457126898
  -9.965	-3.5146e-09	1457126903
 -19.944	-4.9421e-09	1457126908
 -29.941	-6.8443e-09	1457126913
 -39.935	-9.4037e-09	1457126918
 -49.932	-9.9928e-09	1457126923
 -59.912	-1.5549e-08	1457126928
 -69.909	-2.5070e-08	1457126933
 -79.923	-3.2916e-08	1457126938
 -89.921	-3.8368e-08	1457126943
 -99.937	-4.0822e-08	1457126948
-109.952	-4.2176e-08	1457126953
-119.963	-4.5168e-08	1457126958
-129.960	-4.5597e-08	1457126963
-139.975	-4.7245e-08	1457126968
-149.988	-5.1884e-08	1457126973
-159.985	-5.3651e-08	1457126978
-169.964	-6.7611e-08	1457126983
-179.960	-6.9299e-08	1457126988
-189.953	-7.6549e-08	1457126993
-199.949	-9.1719e-08	1457126998
-209.928	-1.1876e-07	1457127003
-219.925	-1.2182e-07	1457127008
-229.936	-1.2630e-07	1457127013
-239.953	-1.3476e-07	1457127018
-249.951	-1.3561e-07	1457127023
-259.966	-1.3454e-07	1457127028
-269.978	-1.3850e-07	1457127033
-279.974	-1.4414e-07	1457127038
-289.990	-1.5017e-07	1457127043
-300.005	-1.4622e-07	1457127048
-310.003	-1.6898e-07	1457127053
-319.981	-1.8144e-07	1457127058
-329.978	-1.8368e-07	1457127063
-339.971	-1.8976e-07	1457127068
-349.968	-2.0190e-07	1457127073
-359.947	-2.3324e-07	1457127078
-369.945	-2.4809e-07	1457127083
-379.952	-2.5878e-07	1457127088
-389.969	-2.7028e-07	1457127093
-399.967	-2.9156e-07	1457127098
-409.982	-3.0282e-07	1457127103
-419.994	-3.1701e-07	1457127109
-429.991	-3.5823e-07	1457127114
-440.012	-7.0487e-07	1457127119
-450.022	-2.4303e-06	1457127131
-460.029	-8.4841e-06	1457127136
-469.998	-1.7960e-05	1457127145
-479.996	-2.7543e-05	1457127150
-489.990	-4.0944e-05	1457127155
-499.988	-5.3293e-05	1457127160
-509.967	-6.6836e-05	1457127165
-519.967	-8.6076e-05	1457127170
-527.649	-9.9998e-05	1457127175
