#
#--------LOG from Mon 13 Jun 2016 at 13h:00m:37s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-4.5630e-10	1465840688
  -9.966	-3.8505e-09	1465840693
 -19.945	-4.9330e-09	1465840698
 -29.942	-5.8795e-09	1465840703
 -39.936	-6.7105e-09	1465840708
 -49.933	-7.9507e-09	1465840713
 -59.913	-1.5471e-08	1465840718
 -69.911	-2.2373e-08	1465840723
 -79.925	-2.5777e-08	1465840728
 -89.922	-2.7287e-08	1465840733
 -99.937	-2.8257e-08	1465840738
-109.952	-2.8844e-08	1465840743
-119.963	-2.9487e-08	1465840748
-129.960	-2.9924e-08	1465840753
-139.975	-3.0331e-08	1465840758
-149.988	-3.0816e-08	1465840763
-159.984	-3.1246e-08	1465840768
-169.963	-3.1717e-08	1465840773
-179.960	-3.2080e-08	1465840778
-189.953	-4.0793e-08	1465840783
-199.951	-1.5148e-06	1465840797
-209.936	-6.6222e-06	1465840802
-219.927	-1.5218e-05	1465840810
-229.939	-2.8004e-05	1465840815
-239.958	-4.3317e-05	1465840821
-249.958	-6.1341e-05	1465840826
-259.974	-8.1962e-05	1465840831
-268.372	-9.9998e-05	1465840836
