#
#--------LOG from Thu 03 Mar 2016 at 15h:40m:04s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-6.3447e-10	1457040903
  -9.966	-5.2644e-09	1457040908
 -19.945	-6.6220e-09	1457040913
 -29.942	-9.4894e-09	1457040918
 -39.936	-2.1153e-08	1457040923
 -49.933	-2.8603e-08	1457040928
 -59.913	-3.2658e-08	1457040933
 -69.910	-3.5719e-08	1457040938
 -79.924	-3.7343e-08	1457040943
 -89.921	-3.9905e-08	1457040949
 -99.936	-4.2474e-08	1457040954
-109.952	-4.6246e-08	1457040959
-119.963	-5.1747e-08	1457040964
-129.960	-5.2026e-08	1457040969
-139.975	-5.8856e-08	1457040974
-149.987	-6.1668e-08	1457040979
-159.985	-7.1815e-08	1457040984
-169.964	-7.5090e-08	1457040989
-179.961	-8.1940e-08	1457040994
-189.953	-7.3008e-08	1457040999
-199.951	-8.2992e-08	1457041004
-209.929	-8.3472e-08	1457041009
-219.926	-8.3627e-08	1457041014
-229.937	-1.0011e-07	1457041019
-239.953	-9.7249e-08	1457041024
-249.951	-1.1239e-07	1457041029
-259.967	-1.0836e-07	1457041034
-269.978	-1.3436e-07	1457041039
-279.975	-1.4249e-07	1457041044
-289.990	-1.5915e-07	1457041049
-300.006	-1.6640e-07	1457041054
-310.004	-1.7660e-07	1457041059
-319.983	-1.8362e-07	1457041064
-329.979	-1.9189e-07	1457041069
-339.971	-1.8239e-07	1457041074
-349.969	-2.1654e-07	1457041079
-359.948	-2.3638e-07	1457041084
-369.945	-2.3243e-07	1457041089
-379.953	-2.4968e-07	1457041094
-389.969	-2.5569e-07	1457041099
-399.967	-2.4566e-07	1457041104
-409.983	-2.6735e-07	1457041109
-419.994	-2.4692e-07	1457041114
-429.991	-2.6932e-07	1457041119
-440.007	-2.8181e-07	1457041124
-450.023	-3.0930e-07	1457041129
-460.022	-3.2104e-07	1457041134
-470.000	-3.2865e-07	1457041139
-479.998	-3.6510e-07	1457041144
-489.989	-3.8576e-07	1457041149
-499.986	-3.7507e-07	1457041154
-509.965	-4.1601e-07	1457041159
-519.961	-3.8936e-07	1457041164
-529.967	-3.9891e-07	1457041169
-539.984	-3.8274e-07	1457041174
-549.985	-4.4654e-07	1457041179
-560.001	-4.3028e-07	1457041184
-570.013	-4.2347e-07	1457041189
-580.030	-4.7059e-07	1457041194
-590.030	-6.2905e-07	1457041199
-600.046	-5.6214e-07	1457041204
