#
#--------LOG from Mon 08 Feb 2016 at 15h:41m:55s ---------
#
#voltage(V)	current(A)	timestamp
  -0.025	+2.6866e-10	1454967562
 -10.010	-1.9190e-09	1454967567
 -19.996	-3.1200e-09	1454967572
 -29.982	-2.5036e-07	1454967577
 -39.966	-1.6667e-06	1454967589
 -49.951	-1.6843e-06	1454967594
 -59.954	-1.6992e-06	1454967599
 -69.939	-1.7132e-06	1454967604
 -79.948	-1.7264e-06	1454967609
 -89.962	-1.7429e-06	1454967614
 -99.977	-1.7692e-06	1454967619
-109.991	-1.7952e-06	1454967624
-120.002	-1.8204e-06	1454967629
-130.017	-1.8540e-06	1454967634
-140.049	-1.8846e-06	1454967639
-150.058	-1.9146e-06	1454967644
-160.043	-1.9559e-06	1454967650
-170.029	-1.9697e-06	1454967655
-180.013	-2.0058e-06	1454967660
-189.997	-2.0458e-06	1454967665
-199.980	-2.0774e-06	1454967670
-209.966	-2.0814e-06	1454967675
-219.951	-2.1127e-06	1454967680
-229.975	-2.1371e-06	1454967685
-239.991	-2.8564e-06	1454967690
-250.012	-7.8637e-06	1454967695
-260.020	-3.8313e-05	1454967703
-270.037	-7.2781e-05	1454967708
-273.583	-1.0000e-04	1454967713
