# IV test from Fri, 26 Feb 2016 13:32:12 -0600 (CST) +586173000 nsec
#Test Parameters:
#   HV Supply:      Keithley2410
#   Voltage Start:  0
#   Voltage Stop:   600
#   Voltage Step:   5
#   Delay(s):       1
#   Compliance(uA): 100
#voltage(V)	current(A)	timestamp
  +0.000	-2.004930e-09	2016-02-26 19:32:12.586173000Z
  -5.000	-4.190830e-09	2016-02-26 19:32:14.186102001Z
 -10.000	-6.140092e-09	2016-02-26 19:32:15.782104001Z
 -15.000	-7.949866e-09	2016-02-26 19:32:17.378447000Z
 -20.000	-9.799735e-09	2016-02-26 19:32:18.973119000Z
 -25.000	-1.106428e-08	2016-02-26 19:32:20.571065000Z
 -30.000	-1.244905e-08	2016-02-26 19:32:22.165087000Z
 -35.000	-1.363642e-08	2016-02-26 19:32:23.763078000Z
 -40.000	-1.492602e-08	2016-02-26 19:32:25.357078000Z
 -45.000	-1.586283e-08	2016-02-26 19:32:26.952057000Z
 -50.000	-1.663162e-08	2016-02-26 19:32:28.546012000Z
 -55.000	-1.753925e-08	2016-02-26 19:32:30.141034000Z
 -60.000	-1.924457e-08	2016-02-26 19:32:31.739024000Z
 -65.000	-2.375903e-08	2016-02-26 19:32:33.333987000Z
 -70.000	-3.003226e-08	2016-02-26 19:32:34.928969000Z
 -75.000	-3.716515e-08	2016-02-26 19:32:36.523993000Z
 -80.000	-4.199160e-08	2016-02-26 19:32:38.117945001Z
 -85.000	-4.791407e-08	2016-02-26 19:32:39.713953000Z
 -90.000	-5.248631e-08	2016-02-26 19:32:41.307963000Z
 -95.000	-5.669723e-08	2016-02-26 19:32:42.903918000Z
-100.000	-6.032653e-08	2016-02-26 19:32:44.502907000Z
-105.000	-6.597822e-08	2016-02-26 19:32:46.097930000Z
-110.000	-6.351834e-08	2016-02-26 19:32:47.691919000Z
-115.000	-6.386612e-08	2016-02-26 19:32:49.286909001Z
-120.000	-6.697520e-08	2016-02-26 19:32:50.885902000Z
-125.000	-7.085227e-08	2016-02-26 19:32:52.480890000Z
-130.000	-7.071434e-08	2016-02-26 19:32:54.078843000Z
-135.000	-7.078265e-08	2016-02-26 19:32:55.677865000Z
-140.000	-7.295088e-08	2016-02-26 19:32:57.275856000Z
-145.000	-7.645407e-08	2016-02-26 19:32:58.875813000Z
-150.000	-7.646508e-08	2016-02-26 19:33:00.472821000Z
-155.000	-7.904768e-08	2016-02-26 19:33:02.071825000Z
-160.000	-8.014282e-08	2016-02-26 19:33:03.666793000Z
-165.000	-8.352014e-08	2016-02-26 19:33:05.265781000Z
-170.000	-8.061880e-08	2016-02-26 19:33:06.867794001Z
-175.000	-8.557069e-08	2016-02-26 19:33:08.462790001Z
-180.000	-8.393979e-08	2016-02-26 19:33:10.060771000Z
-185.000	-8.482638e-08	2016-02-26 19:33:11.655762000Z
-190.000	-8.664897e-08	2016-02-26 19:33:13.256717001Z
-195.000	-8.840561e-08	2016-02-26 19:33:14.854741000Z
-200.000	-9.038733e-08	2016-02-26 19:33:16.449684001Z
-205.000	-9.407890e-08	2016-02-26 19:33:18.045695001Z
-210.000	-9.377311e-08	2016-02-26 19:33:19.639676000Z
-215.000	-9.511728e-08	2016-02-26 19:33:21.235663001Z
-220.000	-9.729425e-08	2016-02-26 19:33:22.837653001Z
-225.000	-9.544297e-08	2016-02-26 19:33:24.434686000Z
-230.000	-9.545636e-08	2016-02-26 19:33:26.028633000Z
-235.000	-1.003832e-07	2016-02-26 19:33:27.623632001Z
-240.000	-1.000825e-07	2016-02-26 19:33:29.223612000Z
-245.000	-1.005873e-07	2016-02-26 19:33:30.818618001Z
-250.000	-1.004939e-07	2016-02-26 19:33:32.418617000Z
-255.000	-1.008210e-07	2016-02-26 19:33:34.012612000Z
-260.000	-1.022753e-07	2016-02-26 19:33:35.609603000Z
-265.000	-1.019596e-07	2016-02-26 19:33:37.203592000Z
-270.000	-1.067648e-07	2016-02-26 19:33:38.799585000Z
-275.000	-1.111830e-07	2016-02-26 19:33:40.398549000Z
-280.000	-1.156246e-07	2016-02-26 19:33:41.993548000Z
-285.000	-1.135765e-07	2016-02-26 19:33:43.591517000Z
-290.000	-1.452352e-07	2016-02-26 19:33:45.186554000Z
-295.000	-2.590362e-07	2016-02-26 19:33:46.782496000Z
-300.000	-6.678173e-07	2016-02-26 19:33:48.380518000Z
-305.000	-1.908354e-06	2016-02-26 19:33:52.987487000Z
-310.000	-5.676812e-06	2016-02-26 19:33:54.581478001Z
-315.000	-1.319305e-05	2016-02-26 19:33:57.681456000Z
-320.000	-1.995535e-05	2016-02-26 19:33:59.280461000Z
-325.000	-2.562927e-05	2016-02-26 19:34:00.875403000Z
-330.000	-3.192374e-05	2016-02-26 19:34:02.476426000Z
-335.000	-4.391494e-05	2016-02-26 19:34:04.071390000Z
-340.000	-5.333481e-05	2016-02-26 19:34:05.669404001Z
-345.000	-6.271013e-05	2016-02-26 19:34:07.265392000Z
-350.000	-8.346549e-05	2016-02-26 19:34:08.867365001Z
-355.000	-9.642400e-05	2016-02-26 19:34:10.461374000Z
-360.000	-9.999664e-05	2016-02-26 19:34:12.098361000Z
#Sweep was aborted on compliance
