#
#--------LOG from Fri 19 Feb 2016 at 15h:37m:27s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-1.0067e-09	1455917538
  -9.966	-4.3182e-09	1455917543
 -19.945	-5.4681e-09	1455917548
 -29.942	-6.4058e-09	1455917553
 -39.936	-7.4466e-09	1455917558
 -49.933	-8.7798e-09	1455917563
 -59.913	-1.6013e-08	1455917568
 -69.910	-2.6168e-08	1455917573
 -79.924	-3.2624e-08	1455917578
 -89.921	-3.5616e-08	1455917584
 -99.937	-3.8100e-08	1455917589
-109.952	-4.0089e-08	1455917594
-119.963	-4.2198e-08	1455917599
-129.960	-4.4037e-08	1455917604
-139.976	-4.5374e-08	1455917609
-149.988	-4.6707e-08	1455917614
-159.985	-4.7693e-08	1455917619
-169.964	-4.8541e-08	1455917624
-179.961	-4.9467e-08	1455917629
-189.953	-5.2088e-08	1455917634
-199.950	-5.2876e-08	1455917639
-209.928	-5.3529e-08	1455917644
-219.925	-5.6451e-08	1455917649
-229.936	-5.8564e-08	1455917654
-239.952	-5.9330e-08	1455917659
-249.950	-6.3653e-08	1455917664
-259.966	-6.5260e-08	1455917669
-269.978	-6.6392e-08	1455917674
-279.974	-6.7270e-08	1455917679
-289.990	-7.0144e-08	1455917684
-300.006	-7.3289e-08	1455917689
-310.003	-7.5594e-08	1455917694
-319.981	-7.5859e-08	1455917699
-329.978	-7.8487e-08	1455917704
-339.970	-8.3846e-08	1455917709
-349.967	-8.1795e-08	1455917714
-359.947	-8.6313e-08	1455917719
-369.943	-9.0500e-08	1455917724
-379.951	-9.4103e-08	1455917729
-389.967	-9.6836e-08	1455917734
-399.966	-1.0225e-07	1455917739
-409.981	-1.0471e-07	1455917744
-419.993	-1.1567e-07	1455917749
-429.989	-1.0881e-07	1455917754
-440.006	-1.1034e-07	1455917759
-450.021	-1.1534e-07	1455917764
-460.020	-1.3777e-07	1455917769
-469.998	-1.4728e-07	1455917774
-479.995	-1.5896e-07	1455917779
-489.987	-1.7162e-07	1455917784
-499.984	-1.7920e-07	1455917789
-509.962	-2.1258e-07	1455917794
-519.959	-2.2246e-07	1455917799
-529.966	-3.7392e-07	1455917804
-539.984	-4.2419e-07	1455917809
-549.985	-5.3025e-07	1455917814
-560.002	-5.9515e-07	1455917819
-570.017	-7.8085e-07	1455917824
-580.027	-1.7955e-06	1455917837
-590.027	-2.7351e-06	1455917842
-600.043	-2.6890e-06	1455917847
