#
#--------LOG from Mon 14 Mar 2016 at 15h:16m:04s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-1.7740e-09	1457986401
  -9.965	-6.4767e-09	1457986406
 -19.944	-8.1581e-09	1457986411
 -29.941	-9.7413e-09	1457986416
 -39.934	-1.1341e-08	1457986421
 -49.932	-1.6062e-08	1457986426
 -59.911	-2.5629e-08	1457986431
 -69.909	-4.0407e-08	1457986436
 -79.922	-5.0748e-08	1457986441
 -89.920	-5.4603e-08	1457986447
 -99.935	-5.8501e-08	1457986452
-109.950	-6.5632e-08	1457986457
-119.962	-6.9766e-08	1457986462
-129.959	-7.9619e-08	1457986467
-139.975	-8.4507e-08	1457986472
-149.987	-8.4767e-08	1457986477
-159.985	-9.6018e-08	1457986482
-169.964	-1.0168e-07	1457986487
-179.960	-1.0799e-07	1457986492
-189.952	-1.1811e-07	1457986497
-199.949	-1.3396e-07	1457986502
-209.928	-1.3678e-07	1457986507
-219.925	-1.5466e-07	1457986512
-229.936	-1.7279e-07	1457986517
-239.952	-1.8659e-07	1457986522
-249.951	-2.2922e-07	1457986527
-259.965	-1.6825e-06	1457986539
-269.976	-1.2580e-05	1457986548
-279.976	-3.7324e-05	1457986553
-289.996	-7.2029e-05	1457986558
-296.679	-9.9998e-05	1457986563
