#
#--------LOG from Thu 17 Mar 2016 at 15h:10m:30s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-7.6040e-10	1458245122
  -9.965	-4.7780e-09	1458245127
 -19.944	-7.9090e-09	1458245132
 -29.941	-9.5717e-09	1458245137
 -39.934	-1.1141e-08	1458245142
 -49.932	-1.4285e-08	1458245147
 -59.911	-1.6199e-08	1458245152
 -69.909	-2.9041e-08	1458245157
 -79.923	-3.9688e-08	1458245162
 -89.920	-4.8611e-08	1458245167
 -99.936	-5.4913e-08	1458245172
-109.951	-5.6954e-08	1458245177
-119.962	-6.7939e-08	1458245182
-129.960	-7.1336e-08	1458245187
-139.975	-8.5269e-08	1458245192
-149.988	-8.1944e-08	1458245197
-159.984	-8.4693e-08	1458245202
-169.963	-9.4879e-08	1458245207
-179.960	-1.0073e-07	1458245212
-189.952	-1.1305e-07	1458245217
-199.949	-1.3853e-07	1458245222
-209.927	-1.3198e-07	1458245227
-219.924	-1.5714e-07	1458245232
-229.935	-1.5557e-07	1458245237
-239.952	-1.6700e-07	1458245242
-249.950	-1.8604e-07	1458245248
-259.966	-1.8439e-07	1458245253
-269.977	-1.9993e-07	1458245258
-279.974	-2.2091e-07	1458245263
-289.990	-2.2361e-07	1458245268
-300.006	-2.6344e-07	1458245273
-310.003	-2.9126e-07	1458245278
-319.982	-2.9425e-07	1458245283
-329.979	-3.1888e-07	1458245288
-339.972	-3.5514e-07	1458245293
-349.970	-4.0018e-07	1458245298
-359.949	-4.1425e-07	1458245303
-369.946	-4.3125e-07	1458245308
-379.954	-4.8488e-07	1458245313
-389.971	-5.1437e-07	1458245318
-399.969	-5.1071e-07	1458245323
-409.986	-5.7179e-07	1458245328
-419.997	-5.9346e-07	1458245333
-429.994	-6.0786e-07	1458245338
-440.011	-6.3511e-07	1458245343
-450.026	-6.4024e-07	1458245348
-460.025	-6.5257e-07	1458245353
-470.003	-6.7298e-07	1458245358
-480.000	-6.8386e-07	1458245363
-489.992	-7.1567e-07	1458245368
-499.990	-7.8317e-07	1458245373
-509.968	-8.4169e-07	1458245378
-519.966	-8.8331e-07	1458245383
-529.970	-8.6015e-07	1458245388
-539.989	-9.1877e-07	1458245393
-549.989	-9.4184e-07	1458245398
-559.995	-1.0544e-06	1458245410
-570.007	-1.0618e-06	1458245415
-580.024	-1.1229e-06	1458245420
-590.023	-1.2384e-06	1458245425
-600.040	-1.2875e-06	1458245430
