#
#--------LOG from Thu 21 Apr 2016 at 15h:00m:21s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	+1.1374e-10	1461268533
  -9.964	-2.8960e-09	1461268538
 -19.944	-3.7628e-09	1461268543
 -29.940	-4.6867e-09	1461268548
 -39.934	-5.4732e-09	1461268553
 -49.931	-6.5732e-09	1461268558
 -59.911	-9.6963e-09	1461268563
 -69.909	-1.3533e-08	1461268568
 -79.923	-1.6823e-08	1461268573
 -89.921	-1.9813e-08	1461268578
 -99.936	-2.2366e-08	1461268583
-109.951	-2.4081e-08	1461268588
-119.962	-2.5272e-08	1461268593
-129.959	-2.6330e-08	1461268598
-139.975	-2.6876e-08	1461268603
-149.987	-2.7492e-08	1461268608
-159.984	-2.8022e-08	1461268613
-169.963	-2.8247e-08	1461268618
-179.959	-2.8979e-08	1461268623
-189.952	-2.9405e-08	1461268628
-199.949	-2.9993e-08	1461268633
-209.927	-3.0669e-08	1461268638
-219.924	-3.0915e-08	1461268643
-229.935	-3.1824e-08	1461268648
-239.951	-3.2415e-08	1461268654
-249.949	-3.3327e-08	1461268659
-259.964	-3.3943e-08	1461268664
-269.976	-3.5367e-08	1461268669
-279.972	-3.6849e-08	1461268674
-289.988	-3.7185e-08	1461268679
-300.003	-3.8827e-08	1461268684
-310.001	-3.9761e-08	1461268689
-319.979	-4.0907e-08	1461268694
-329.977	-4.2181e-08	1461268699
-339.969	-4.3242e-08	1461268704
-349.967	-4.4387e-08	1461268709
-359.945	-4.6544e-08	1461268714
-369.942	-4.7458e-08	1461268719
-379.950	-4.9602e-08	1461268724
-389.966	-6.0175e-08	1461268729
-399.966	-2.4678e-07	1461268734
-409.985	-5.0115e-07	1461268739
-420.000	-8.7586e-07	1461268744
-429.990	-2.9477e-06	1461268756
-440.009	-4.8707e-06	1461268761
-450.027	-7.4093e-06	1461268766
-460.019	-1.2088e-05	1461268775
-469.997	-1.6902e-05	1461268780
-479.995	-2.2712e-05	1461268785
-489.988	-2.9898e-05	1461268790
-499.986	-3.8491e-05	1461268795
-509.965	-4.9092e-05	1461268800
-519.963	-6.1720e-05	1461268805
-529.971	-7.7436e-05	1461268810
-539.990	-9.5664e-05	1461268815
-533.630	-9.9998e-05	1461268820
