#
#--------LOG from Tue 29 Mar 2016 at 12h:19m:11s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	-9.4853e-10	1459271650
  -9.964	-4.2719e-09	1459271655
 -19.942	-5.4895e-09	1459271660
 -29.939	-6.6959e-09	1459271665
 -39.932	-7.6919e-09	1459271670
 -49.930	-9.4421e-09	1459271675
 -59.910	-1.3221e-08	1459271680
 -69.908	-2.3072e-08	1459271685
 -79.921	-3.3120e-08	1459271690
 -89.919	-4.2518e-08	1459271695
 -99.935	-5.0242e-08	1459271700
-109.951	-5.6631e-08	1459271705
-119.961	-5.5982e-08	1459271710
-129.958	-6.1818e-08	1459271715
-139.974	-6.4415e-08	1459271720
-149.986	-6.5401e-08	1459271725
-159.984	-6.2249e-08	1459271730
-169.963	-6.7458e-08	1459271735
-179.959	-7.2758e-08	1459271740
-189.951	-7.1004e-08	1459271745
-199.949	-7.6891e-08	1459271750
-209.927	-7.2878e-08	1459271755
-219.923	-8.0591e-08	1459271760
-229.934	-8.4238e-08	1459271765
-239.951	-9.7490e-08	1459271770
-249.949	-9.9710e-08	1459271775
-259.964	-1.2133e-07	1459271780
-269.976	-1.2115e-07	1459271785
-279.972	-1.2088e-07	1459271790
-289.988	-1.4681e-07	1459271795
-300.003	-1.3759e-07	1459271800
-310.000	-1.4791e-07	1459271805
-319.979	-1.7576e-07	1459271810
-329.977	-1.8916e-07	1459271815
-339.969	-1.7378e-07	1459271820
-349.966	-2.1778e-07	1459271825
-359.946	-2.4517e-07	1459271830
-369.943	-2.6711e-07	1459271835
-379.950	-2.2694e-07	1459271840
-389.966	-2.3175e-07	1459271845
-399.965	-3.0409e-07	1459271850
-409.980	-2.7910e-07	1459271855
-419.991	-2.6875e-07	1459271860
-429.989	-3.3394e-07	1459271865
-440.006	-3.5544e-07	1459271870
-450.022	-3.9915e-07	1459271875
-460.021	-4.1075e-07	1459271880
-469.998	-4.4254e-07	1459271885
-479.996	-4.4603e-07	1459271890
-489.987	-4.4342e-07	1459271895
-499.984	-4.1393e-07	1459271900
-509.963	-4.0542e-07	1459271905
-519.959	-3.9546e-07	1459271910
-529.965	-4.2207e-07	1459271915
-539.983	-4.8404e-07	1459271920
-549.982	-5.0802e-07	1459271925
-560.000	-5.7830e-07	1459271930
-570.011	-4.5746e-07	1459271935
-580.028	-4.3516e-07	1459271941
-590.027	-4.7805e-07	1459271946
-600.044	-5.0411e-07	1459271951
