#
#--------LOG from Fri 01 Apr 2016 at 15h:33m:35s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	-2.1774e-09	1459542514
  -9.964	-2.6220e-08	1459542519
 -19.944	-4.2862e-08	1459542524
 -29.941	-5.6754e-08	1459542529
 -39.934	-6.9447e-08	1459542534
 -49.931	-8.7608e-08	1459542539
 -59.911	-1.0760e-07	1459542544
 -69.909	-1.2058e-07	1459542549
 -79.923	-1.3155e-07	1459542554
 -89.920	-1.4232e-07	1459542559
 -99.936	-1.5347e-07	1459542564
-109.951	-1.6450e-07	1459542569
-119.963	-1.7592e-07	1459542574
-129.961	-1.8763e-07	1459542579
-139.976	-1.9938e-07	1459542584
-149.988	-2.1064e-07	1459542589
-159.986	-2.2230e-07	1459542594
-169.965	-2.3382e-07	1459542599
-179.962	-2.4597e-07	1459542604
-189.954	-2.5776e-07	1459542609
-199.951	-2.6959e-07	1459542614
-209.929	-2.8138e-07	1459542619
-219.926	-2.9292e-07	1459542624
-229.937	-3.0547e-07	1459542629
-239.953	-3.1770e-07	1459542634
-249.952	-3.2912e-07	1459542639
-259.967	-3.4257e-07	1459542644
-269.979	-3.5524e-07	1459542649
-279.975	-3.6876e-07	1459542654
-289.991	-3.8004e-07	1459542659
-300.007	-3.9363e-07	1459542664
-310.005	-4.1017e-07	1459542669
-319.983	-4.2298e-07	1459542674
-329.980	-4.3580e-07	1459542679
-339.973	-4.5051e-07	1459542684
-349.970	-4.6407e-07	1459542689
-359.949	-4.7654e-07	1459542694
-369.946	-4.9358e-07	1459542699
-379.954	-5.0950e-07	1459542704
-389.971	-5.3208e-07	1459542709
-399.968	-5.4490e-07	1459542714
-409.985	-5.5722e-07	1459542719
-419.996	-5.6711e-07	1459542724
-429.993	-5.8295e-07	1459542730
-440.010	-5.9578e-07	1459542735
-450.025	-6.0874e-07	1459542740
-460.024	-6.3104e-07	1459542745
-470.001	-6.4815e-07	1459542750
-479.999	-6.6228e-07	1459542755
-489.991	-7.0011e-07	1459542760
-499.989	-7.8782e-07	1459542765
-509.967	-8.2313e-07	1459542770
-519.963	-7.5685e-07	1459542775
-529.971	-8.6927e-07	1459542780
-539.987	-8.2093e-07	1459542785
-549.987	-8.5140e-07	1459542790
-560.004	-8.1188e-07	1459542795
-570.015	-8.1877e-07	1459542800
-580.033	-8.2392e-07	1459542805
-590.031	-8.4930e-07	1459542810
-600.048	-8.7832e-07	1459542815
