#
#--------LOG from Mon 18 Apr 2016 at 15h:28m:53s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-1.6357e-10	1461011023
  -9.964	-8.0087e-09	1461011028
 -19.944	-1.0434e-08	1461011033
 -29.940	-1.2413e-08	1461011038
 -39.933	-1.4002e-08	1461011043
 -49.931	-1.5732e-08	1461011048
 -59.912	-2.3695e-08	1461011053
 -69.909	-3.3094e-08	1461011058
 -79.922	-3.8896e-08	1461011063
 -89.920	-4.2057e-08	1461011068
 -99.936	-4.3832e-08	1461011073
-109.950	-4.5457e-08	1461011078
-119.962	-4.6878e-08	1461011083
-129.958	-4.8021e-08	1461011088
-139.974	-4.9041e-08	1461011093
-149.986	-5.0311e-08	1461011098
-159.983	-5.1212e-08	1461011103
-169.963	-5.2448e-08	1461011108
-179.959	-5.3639e-08	1461011113
-189.951	-5.4533e-08	1461011118
-199.949	-5.6176e-08	1461011123
-209.926	-5.6945e-08	1461011128
-219.923	-5.7872e-08	1461011133
-229.934	-5.9472e-08	1461011138
-239.950	-6.0818e-08	1461011143
-249.948	-6.2461e-08	1461011148
-259.964	-6.3916e-08	1461011153
-269.975	-6.6047e-08	1461011158
-279.971	-6.7991e-08	1461011163
-289.987	-6.9999e-08	1461011168
-300.003	-7.2083e-08	1461011173
-310.001	-7.4496e-08	1461011178
-319.979	-7.6880e-08	1461011183
-329.975	-8.2834e-08	1461011188
-339.968	-8.6114e-08	1461011193
-349.966	-9.2294e-08	1461011198
-359.945	-1.1964e-07	1461011203
-369.942	-1.3578e-07	1461011208
-379.950	-1.7121e-07	1461011213
-389.966	-1.9127e-07	1461011218
-399.964	-1.5839e-07	1461011223
-409.979	-1.5504e-07	1461011229
-419.991	-1.8964e-07	1461011234
-429.988	-2.0598e-07	1461011239
-440.004	-1.6568e-07	1461011244
-450.019	-2.2585e-07	1461011249
-460.018	-1.9891e-07	1461011254
-469.996	-1.9966e-07	1461011259
-479.993	-1.9076e-07	1461011264
-489.985	-2.3516e-07	1461011269
-499.981	-1.9591e-07	1461011274
-509.962	-3.2384e-07	1461011279
-519.957	-2.6499e-07	1461011284
-529.963	-3.1013e-07	1461011289
-539.981	-3.4344e-07	1461011294
-549.980	-3.6352e-07	1461011299
-559.997	-3.7930e-07	1461011304
-570.007	-1.5677e-06	1461011317
-580.025	-2.4419e-06	1461011322
-590.025	-3.7054e-06	1461011328
-600.044	-5.6423e-06	1461011333
