#
#--------LOG from Thu 05 May 2016 at 11h:20m:45s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	-8.4601e-10	1462464943
  -9.964	-8.2076e-09	1462464948
 -19.944	-1.0549e-08	1462464953
 -29.941	-1.2058e-08	1462464958
 -39.934	-1.3518e-08	1462464963
 -49.932	-1.4754e-08	1462464968
 -59.912	-1.9016e-08	1462464973
 -69.910	-3.4981e-08	1462464978
 -79.923	-5.2505e-08	1462464983
 -89.920	-6.1825e-08	1462464989
 -99.936	-6.5977e-08	1462464994
-109.951	-6.8015e-08	1462464999
-119.961	-6.9923e-08	1462465004
-129.959	-7.1244e-08	1462465009
-139.974	-7.2749e-08	1462465014
-149.987	-7.4074e-08	1462465019
-159.984	-7.5254e-08	1462465024
-169.963	-7.6485e-08	1462465029
-179.960	-7.7711e-08	1462465034
-189.952	-7.8971e-08	1462465039
-199.949	-7.9936e-08	1462465044
-209.928	-8.1070e-08	1462465049
-219.925	-8.1931e-08	1462465054
-229.936	-8.2982e-08	1462465059
-239.952	-8.4058e-08	1462465064
-249.950	-8.5091e-08	1462465069
-259.965	-8.6309e-08	1462465074
-269.976	-8.7268e-08	1462465079
-279.972	-8.8057e-08	1462465084
-289.989	-8.9722e-08	1462465089
-300.004	-9.0588e-08	1462465094
-310.002	-9.1876e-08	1462465099
-319.980	-9.4086e-08	1462465104
-329.977	-9.5245e-08	1462465109
-339.969	-9.6450e-08	1462465114
-349.966	-9.9141e-08	1462465119
-359.945	-1.0005e-07	1462465124
-369.943	-1.0311e-07	1462465129
-379.950	-1.0739e-07	1462465134
-389.966	-1.0850e-07	1462465139
-399.965	-1.1305e-07	1462465144
-409.980	-1.1281e-07	1462465149
-419.991	-1.1611e-07	1462465154
-429.988	-1.1854e-07	1462465159
-440.004	-1.2247e-07	1462465164
-450.019	-1.2492e-07	1462465169
-460.019	-1.2789e-07	1462465174
-469.996	-1.3128e-07	1462465179
-479.993	-1.3406e-07	1462465184
-489.985	-1.3750e-07	1462465189
-499.982	-1.4195e-07	1462465194
-509.961	-1.4763e-07	1462465199
-519.958	-1.5247e-07	1462465204
-529.963	-1.5479e-07	1462465209
-539.981	-1.6239e-07	1462465214
-549.980	-1.6913e-07	1462465219
-559.996	-1.7417e-07	1462465224
-570.008	-1.7996e-07	1462465229
-580.026	-1.7163e-07	1462465234
-590.024	-1.8674e-07	1462465240
-600.041	-2.0626e-07	1462465245
