#
#--------LOG from Thu 23 Jun 2016 at 13h:56m:18s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-1.4551e-09	1466707971
  -9.966	-1.6550e-08	1466707976
 -19.946	-2.4093e-08	1466707981
 -29.942	-2.7627e-08	1466707986
 -39.936	-3.5569e-08	1466707991
 -49.934	-4.4573e-08	1466707996
 -59.915	-5.1272e-08	1466708001
 -69.912	-5.5999e-08	1466708006
 -79.926	-5.9482e-08	1466708011
 -89.923	-6.2618e-08	1466708016
 -99.938	-6.5238e-08	1466708021
-109.953	-6.8048e-08	1466708026
-119.963	-7.0646e-08	1466708031
-129.961	-7.3336e-08	1466708036
-139.975	-7.6148e-08	1466708041
-149.988	-7.8666e-08	1466708046
-159.986	-8.1487e-08	1466708051
-169.965	-8.4067e-08	1466708056
-179.961	-8.7424e-08	1466708061
-189.953	-9.0632e-08	1466708066
-199.951	-9.3690e-08	1466708071
-209.930	-9.7232e-08	1466708076
-219.928	-1.0138e-07	1466708081
-229.939	-1.2968e-07	1466708086
-239.964	-8.4307e-07	1466708091
-249.954	-2.8620e-06	1466708103
-259.972	-4.9343e-06	1466708108
-269.986	-7.9113e-06	1466708113
-279.974	-1.2434e-05	1466708122
-289.990	-1.6540e-05	1466708127
-300.006	-2.1631e-05	1466708132
-310.005	-2.7565e-05	1466708137
-319.984	-3.4217e-05	1466708142
-329.982	-4.1713e-05	1466708147
-339.976	-5.0176e-05	1466708152
-349.975	-5.9601e-05	1466708157
-359.955	-7.0697e-05	1466708162
-369.954	-8.2785e-05	1466708167
-379.964	-9.6346e-05	1466708172
-375.578	-9.9999e-05	1466708177
