#
#--------LOG from Fri 29 Apr 2016 at 15h:27m:02s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-4.4385e-10	1461961349
  -9.966	-2.7428e-09	1461961354
 -19.945	-3.6944e-09	1461961359
 -29.943	-4.5120e-09	1461961364
 -39.936	-5.1945e-09	1461961369
 -49.934	-5.9696e-09	1461961374
 -59.914	-7.0664e-09	1461961379
 -69.918	-4.9804e-07	1461961384
 -79.926	-1.1509e-06	1461961396
 -89.923	-1.1628e-06	1461961401
 -99.939	-1.1723e-06	1461961406
-109.953	-1.1813e-06	1461961411
-119.965	-1.1900e-06	1461961416
-129.962	-1.1960e-06	1461961421
-139.976	-1.2039e-06	1461961426
-149.989	-1.2119e-06	1461961432
-159.987	-1.2189e-06	1461961437
-169.966	-1.2259e-06	1461961442
-179.963	-1.2332e-06	1461961447
-189.955	-1.2397e-06	1461961452
-199.953	-1.2466e-06	1461961457
-209.931	-1.2532e-06	1461961462
-219.928	-1.2586e-06	1461961467
-229.939	-1.2609e-06	1461961472
-239.954	-1.2644e-06	1461961477
-249.952	-1.2646e-06	1461961482
-259.968	-1.2642e-06	1461961487
-269.979	-1.2639e-06	1461961492
-279.975	-1.2629e-06	1461961497
-289.991	-1.2606e-06	1461961502
-300.007	-1.2586e-06	1461961507
-310.004	-1.2567e-06	1461961512
-319.983	-1.2558e-06	1461961517
-329.980	-1.2540e-06	1461961522
-339.972	-1.2531e-06	1461961527
-349.970	-1.2549e-06	1461961532
-359.948	-1.2613e-06	1461961537
-369.945	-1.2666e-06	1461961542
-379.953	-1.2710e-06	1461961547
-389.969	-1.2738e-06	1461961552
-399.967	-1.2857e-06	1461961557
-409.983	-1.2875e-06	1461961562
-419.993	-1.2934e-06	1461961567
-429.992	-2.2909e-06	1461961572
-440.012	-4.5618e-06	1461961577
-450.031	-8.1349e-06	1461961582
-460.021	-1.5943e-05	1461961591
-470.000	-2.3080e-05	1461961596
-479.999	-3.2913e-05	1461961601
-489.993	-5.0963e-05	1461961606
-499.992	-7.2942e-05	1461961611
-509.973	-9.4384e-05	1461961616
-505.763	-9.9998e-05	1461961621
