#
#--------LOG from Thu 09 Jun 2016 at 14h:42m:02s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	+7.6067e-10	1465501062
  -9.965	-2.7480e-09	1465501067
 -19.945	-3.8564e-09	1465501072
 -29.943	-4.6288e-09	1465501077
 -39.936	-5.2956e-09	1465501082
 -49.934	-6.0757e-09	1465501087
 -59.914	-9.8342e-09	1465501092
 -69.912	-2.3338e-08	1465501097
 -79.926	-3.0297e-08	1465501102
 -89.922	-3.3815e-08	1465501108
 -99.938	-3.5482e-08	1465501113
-109.952	-3.6236e-08	1465501118
-119.962	-3.6997e-08	1465501123
-129.959	-3.7405e-08	1465501128
-139.974	-3.7879e-08	1465501133
-149.986	-3.8213e-08	1465501138
-159.984	-3.8605e-08	1465501143
-169.963	-3.8893e-08	1465501148
-179.961	-3.9398e-08	1465501153
-189.953	-3.9772e-08	1465501158
-199.951	-4.0079e-08	1465501163
-209.930	-4.0651e-08	1465501168
-219.927	-4.1039e-08	1465501173
-229.938	-4.1551e-08	1465501178
-239.953	-4.2035e-08	1465501183
-249.951	-4.2545e-08	1465501188
-259.966	-4.3123e-08	1465501193
-269.977	-4.3841e-08	1465501198
-279.973	-4.4165e-08	1465501203
-289.988	-4.5048e-08	1465501208
-300.003	-4.5439e-08	1465501213
-310.001	-4.6215e-08	1465501218
-319.980	-4.6501e-08	1465501223
-329.977	-4.7046e-08	1465501228
-339.970	-4.7713e-08	1465501233
-349.968	-4.8297e-08	1465501238
-359.947	-4.9509e-08	1465501243
-369.951	-5.0160e-07	1465501248
-379.956	-3.7288e-06	1465501260
-389.976	-6.3688e-06	1465501265
-399.966	-1.2953e-05	1465501275
-409.983	-1.7565e-05	1465501280
-419.995	-2.3265e-05	1465501285
-429.992	-2.9954e-05	1465501290
-440.008	-3.7671e-05	1465501295
-450.024	-4.6711e-05	1465501300
-460.025	-5.7180e-05	1465501305
-470.004	-6.9193e-05	1465501311
-480.003	-8.2860e-05	1465501316
-489.269	-9.8488e-05	1465501321
