#
#--------LOG from Mon 27 Jun 2016 at 18h:24m:50s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-1.7006e-08	1467069667
  -9.967	-3.3039e-08	1467069672
 -19.947	-4.1991e-08	1467069677
 -29.944	-4.7815e-08	1467069682
 -39.938	-5.3535e-08	1467069687
 -49.936	-5.8094e-08	1467069692
 -59.916	-6.3225e-08	1467069697
 -69.914	-6.8766e-08	1467069702
 -79.928	-7.4253e-08	1467069707
 -89.924	-7.9511e-08	1467069713
 -99.940	-8.5933e-08	1467069718
-109.954	-9.3175e-08	1467069723
-119.965	-9.7823e-08	1467069728
-129.962	-1.0333e-07	1467069733
-139.977	-1.0890e-07	1467069738
-149.989	-1.1398e-07	1467069743
-159.986	-1.2017e-07	1467069748
-169.966	-1.2543e-07	1467069753
-179.963	-1.3055e-07	1467069758
-189.956	-1.3491e-07	1467069763
-199.953	-1.3998e-07	1467069768
-209.932	-1.4452e-07	1467069773
-219.929	-1.5080e-07	1467069778
-229.940	-1.5517e-07	1467069783
-239.956	-1.6055e-07	1467069788
-249.954	-1.6573e-07	1467069793
-259.969	-1.7372e-07	1467069798
-269.979	-1.8006e-07	1467069803
-279.976	-1.8541e-07	1467069808
-289.990	-1.9216e-07	1467069813
-300.008	-3.6241e-07	1467069818
-310.004	-2.4282e-06	1467069830
-319.987	-5.0430e-06	1467069835
-329.989	-9.0687e-06	1467069840
-339.973	-1.5458e-05	1467069849
-349.971	-2.2030e-05	1467069854
-359.952	-2.9991e-05	1467069859
-369.950	-3.9333e-05	1467069864
-379.959	-5.0317e-05	1467069869
-389.976	-6.2943e-05	1467069874
-399.975	-7.7323e-05	1467069879
-409.992	-9.3305e-05	1467069884
-413.227	-9.9998e-05	1467069889
