#
#--------LOG from Wed 08 Jun 2016 at 17h:36m:29s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	+3.0188e-10	1465425125
  -9.965	-3.3274e-09	1465425130
 -19.945	-4.5371e-09	1465425135
 -29.942	-5.4113e-09	1465425140
 -39.936	-6.3304e-09	1465425145
 -49.934	-7.2200e-09	1465425150
 -59.914	-1.4660e-08	1465425155
 -69.912	-2.4341e-08	1465425161
 -79.926	-2.8542e-08	1465425166
 -89.923	-3.0029e-08	1465425171
 -99.938	-3.1295e-08	1465425176
-109.952	-3.2126e-08	1465425181
-119.963	-3.2982e-08	1465425186
-129.960	-3.3650e-08	1465425191
-139.975	-3.4059e-08	1465425196
-149.987	-3.4738e-08	1465425201
-159.984	-3.5517e-08	1465425206
-169.964	-3.5920e-08	1465425211
-179.961	-3.6347e-08	1465425216
-189.954	-3.7063e-08	1465425221
-199.952	-3.7537e-08	1465425226
-209.930	-3.7988e-08	1465425231
-219.927	-3.8134e-08	1465425236
-229.938	-3.8720e-08	1465425241
-239.954	-3.9101e-08	1465425246
-249.951	-3.9307e-08	1465425251
-259.966	-3.9512e-08	1465425256
-269.977	-4.0090e-08	1465425261
-279.973	-4.0341e-08	1465425266
-289.989	-4.0620e-08	1465425271
-300.004	-4.1120e-08	1465425276
-310.002	-4.1571e-08	1465425281
-319.981	-4.1834e-08	1465425286
-329.978	-4.2384e-08	1465425291
-339.971	-4.3016e-08	1465425296
-349.968	-4.3273e-08	1465425301
-359.947	-4.4485e-08	1465425306
-369.948	-2.4964e-07	1465425311
-379.956	-2.1899e-06	1465425324
-389.974	-4.2162e-06	1465425329
-399.975	-7.2502e-06	1465425334
-409.983	-1.2748e-05	1465425342
-419.994	-1.7938e-05	1465425347
-429.991	-2.4231e-05	1465425352
-440.008	-3.1487e-05	1465425357
-450.024	-4.0209e-05	1465425362
-460.024	-5.0072e-05	1465425367
-470.003	-6.1328e-05	1465425372
-480.003	-7.4026e-05	1465425377
-489.997	-8.8468e-05	1465425382
-491.533	-9.9998e-05	1465425387
