#
#--------LOG from Mon 01 Aug 2016 at 15h:49m:52s ---------
#
#voltage(V)	current(A)	timestamp
  +0.035	+1.2459e-09	1470084444
  -9.964	-3.8846e-09	1470084449
 -19.945	-5.5711e-09	1470084454
 -29.942	-7.1834e-09	1470084459
 -39.936	-1.4722e-08	1470084464
 -49.934	-2.1264e-08	1470084469
 -59.914	-2.5394e-08	1470084474
 -69.913	-2.7722e-08	1470084479
 -79.927	-2.9453e-08	1470084484
 -89.923	-3.0753e-08	1470084489
 -99.938	-3.1923e-08	1470084494
-109.952	-3.2799e-08	1470084499
-119.963	-3.3728e-08	1470084504
-129.960	-3.4930e-08	1470084509
-139.974	-3.5887e-08	1470084514
-149.985	-3.6769e-08	1470084519
-159.983	-3.7789e-08	1470084524
-169.963	-3.8943e-08	1470084529
-179.960	-3.9910e-08	1470084534
-189.954	-4.0869e-08	1470084539
-199.952	-4.1833e-08	1470084544
-209.931	-4.2689e-08	1470084549
-219.929	-8.6404e-08	1470084554
-229.949	-7.6354e-07	1470084559
-239.964	-7.9476e-06	1470084572
-249.953	-2.3323e-05	1470084580
-259.972	-5.4145e-05	1470084586
-267.592	-9.9999e-05	1470084591
