#
#--------LOG from Mon 26 Sep 2016 at 16h:38m:20s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+2.1328e-09	1474925713
  -9.967	+7.6158e-10	1474925718
 -19.947	-1.5334e-10	1474925723
 -29.944	-2.1916e-09	1474925728
 -39.937	-2.6534e-09	1474925733
 -49.935	-3.0768e-09	1474925738
 -59.915	-4.7881e-09	1474925743
 -69.913	-8.5382e-09	1474925748
 -79.927	-1.1938e-08	1474925753
 -89.924	-1.5119e-08	1474925759
 -99.940	-1.7361e-08	1474925764
-109.954	-1.8784e-08	1474925769
-119.965	-2.0278e-08	1474925774
-129.961	-2.1767e-08	1474925779
-139.976	-2.2643e-08	1474925784
-149.988	-2.2880e-08	1474925789
-159.985	-2.3796e-08	1474925794
-169.965	-2.4124e-08	1474925799
-179.962	-2.4223e-08	1474925804
-189.954	-2.4698e-08	1474925809
-199.951	-2.5395e-08	1474925814
-209.931	-2.5770e-08	1474925819
-219.929	-2.6231e-08	1474925824
-229.940	-2.6342e-08	1474925829
-239.955	-2.6702e-08	1474925834
-249.952	-2.6984e-08	1474925839
-259.967	-2.7275e-08	1474925844
-269.979	-2.8027e-08	1474925849
-279.975	-2.8399e-08	1474925854
-289.990	-2.8635e-08	1474925859
-300.006	-3.6010e-08	1474925864
-310.003	-9.1933e-08	1474925869
-319.983	-2.7140e-07	1474925874
-329.980	-9.7056e-07	1474925879
-339.977	-3.0643e-05	1474925884
-349.978	-6.0571e-05	1474925889
-359.960	-8.2075e-05	1474925894
-363.753	-9.9999e-05	1474925899
