#
#--------LOG from Fri 09 Sep 2016 at 14h:59m:00s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+4.7391e-09	1473450863
  -9.967	+4.9180e-10	1473450868
 -19.947	-1.8774e-09	1473450873
 -29.944	-3.7786e-09	1473450878
 -39.938	-5.2752e-09	1473450883
 -49.935	-5.9504e-09	1473450888
 -59.915	-7.6967e-09	1473450893
 -69.913	-1.0926e-08	1473450898
 -79.927	-1.4796e-08	1473450903
 -89.924	-1.8580e-08	1473450908
 -99.939	-2.1730e-08	1473450913
-109.954	-2.4525e-08	1473450918
-119.965	-2.7042e-08	1473450923
-129.961	-2.8556e-08	1473450928
-139.976	-2.9976e-08	1473450933
-149.988	-3.1168e-08	1473450938
-159.986	-3.2078e-08	1473450943
-169.965	-3.2705e-08	1473450948
-179.963	-3.3476e-08	1473450953
-189.955	-3.4127e-08	1473450958
-199.953	-3.4728e-08	1473450963
-209.932	-3.5326e-08	1473450968
-219.928	-3.6123e-08	1473450973
-229.939	-3.6681e-08	1473450978
-239.955	-3.7436e-08	1473450983
-249.953	-3.8066e-08	1473450988
-259.968	-3.8851e-08	1473450993
-269.979	-3.9573e-08	1473450998
-279.974	-4.0410e-08	1473451003
-289.990	-4.1186e-08	1473451008
-300.005	-4.2107e-08	1473451013
-310.003	-2.5358e-07	1473451019
-319.982	-5.2475e-07	1473451024
-329.980	-9.7695e-07	1473451029
-339.973	-1.5781e-06	1473451034
-349.971	-2.3936e-06	1473451039
-359.949	-3.4926e-06	1473451044
-369.947	-4.7469e-06	1473451049
-379.956	-6.4112e-06	1473451054
-389.971	-8.3132e-06	1473451059
-399.969	-1.0300e-05	1473451064
-409.984	-1.2463e-05	1473451069
-419.995	-1.4865e-05	1473451074
-429.993	-1.7486e-05	1473451079
-440.009	-2.0906e-05	1473451084
-450.024	-2.5305e-05	1473451089
-460.024	-3.0479e-05	1473451094
-470.003	-3.6229e-05	1473451099
-480.001	-4.2674e-05	1473451104
-489.995	-4.9865e-05	1473451109
-499.992	-5.7456e-05	1473451114
-509.972	-6.5855e-05	1473451119
-519.970	-7.4876e-05	1473451124
-529.977	-8.4680e-05	1473451129
-539.996	-9.5356e-05	1473451134
-538.039	-9.9998e-05	1473451139
