#
#--------LOG from Fri 26 Aug 2016 at 16h:47m:02s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+2.6188e-09	1472247753
  -9.968	-1.1085e-09	1472247758
 -19.948	-3.3194e-09	1472247763
 -29.945	-5.4111e-09	1472247768
 -39.938	-6.9165e-09	1472247773
 -49.937	-8.2942e-09	1472247778
 -59.917	-1.0044e-08	1472247783
 -69.915	-1.2383e-08	1472247788
 -79.928	-1.4943e-08	1472247793
 -89.925	-1.7599e-08	1472247798
 -99.940	-2.0219e-08	1472247803
-109.955	-2.2706e-08	1472247808
-119.966	-2.4961e-08	1472247813
-129.963	-2.7070e-08	1472247818
-139.978	-2.9029e-08	1472247823
-149.989	-3.0891e-08	1472247828
-159.987	-3.2684e-08	1472247833
-169.966	-3.4432e-08	1472247838
-179.964	-3.6102e-08	1472247843
-189.956	-3.7687e-08	1472247848
-199.953	-3.9272e-08	1472247853
-209.933	-4.0901e-08	1472247858
-219.930	-4.2467e-08	1472247863
-229.941	-4.4189e-08	1472247868
-239.956	-4.5806e-08	1472247873
-249.954	-4.7552e-08	1472247879
-259.969	-4.9251e-08	1472247884
-269.980	-5.1281e-08	1472247889
-279.976	-5.3285e-08	1472247894
-289.992	-5.5595e-08	1472247899
-300.007	-5.7859e-08	1472247904
-310.005	-6.0524e-08	1472247909
-319.984	-6.2649e-08	1472247914
-329.981	-6.6445e-08	1472247919
-339.974	-6.9046e-08	1472247924
-349.973	-1.1240e-07	1472247929
-359.953	-2.7123e-06	1472247941
-369.952	-4.5897e-06	1472247946
-379.963	-7.1495e-06	1472247951
-389.971	-1.1428e-05	1472247960
-399.969	-1.4796e-05	1472247965
-409.986	-1.8768e-05	1472247970
-419.997	-2.3303e-05	1472247975
-429.995	-2.8570e-05	1472247980
-440.011	-3.4584e-05	1472247985
-450.027	-4.1453e-05	1472247990
-460.027	-4.8890e-05	1472247995
-470.006	-5.8182e-05	1472248000
-480.005	-6.8850e-05	1472248005
-489.998	-8.0167e-05	1472248010
-499.997	-9.2389e-05	1472248015
-500.876	-9.9998e-05	1472248021
