#
#--------LOG from Mon 29 Aug 2016 at 16h:37m:48s ---------
#
#voltage(V)	current(A)	timestamp
  +0.030	+1.8959e-09	1472506355
  -9.968	-8.1671e-10	1472506360
 -19.947	-2.8058e-09	1472506365
 -29.944	-4.5527e-09	1472506370
 -39.938	-6.0641e-09	1472506375
 -49.937	-7.2578e-09	1472506380
 -59.917	-9.1146e-09	1472506385
 -69.914	-1.2363e-08	1472506390
 -79.928	-1.5733e-08	1472506395
 -89.925	-1.9332e-08	1472506400
 -99.940	-2.2385e-08	1472506405
-109.955	-2.5231e-08	1472506410
-119.966	-2.7563e-08	1472506415
-129.962	-2.9414e-08	1472506420
-139.977	-3.0912e-08	1472506425
-149.989	-3.1939e-08	1472506430
-159.986	-3.3113e-08	1472506435
-169.965	-3.4008e-08	1472506440
-179.963	-3.5085e-08	1472506445
-189.955	-3.5940e-08	1472506450
-199.953	-3.6885e-08	1472506455
-209.932	-3.7712e-08	1472506460
-219.929	-3.8480e-08	1472506465
-229.940	-3.9297e-08	1472506470
-239.956	-4.0142e-08	1472506475
-249.953	-4.0890e-08	1472506481
-259.968	-4.1747e-08	1472506486
-269.979	-4.2510e-08	1472506491
-279.975	-4.3247e-08	1472506496
-289.990	-4.3948e-08	1472506501
-300.005	-4.4763e-08	1472506506
-310.003	-4.5476e-08	1472506511
-319.983	-4.6319e-08	1472506516
-329.980	-4.7245e-08	1472506521
-339.973	-4.8099e-08	1472506526
-349.970	-4.9029e-08	1472506531
-359.949	-5.0064e-08	1472506536
-369.947	-5.1003e-08	1472506541
-379.955	-5.2195e-08	1472506546
-389.971	-5.3291e-08	1472506551
-399.969	-5.4510e-08	1472506556
-409.984	-5.5692e-08	1472506561
-419.994	-5.7112e-08	1472506566
-429.990	-5.8446e-08	1472506571
-440.007	-5.9840e-08	1472506576
-450.021	-6.1175e-08	1472506581
-460.020	-6.2714e-08	1472506586
-469.998	-6.4108e-08	1472506591
-479.996	-6.5709e-08	1472506596
-489.988	-6.7101e-08	1472506601
-499.985	-6.8653e-08	1472506606
-509.966	-2.1082e-07	1472506611
-519.962	-2.0516e-06	1472506625
-529.969	-3.1709e-06	1472506630
-539.989	-4.6847e-06	1472506635
-549.990	-6.7087e-06	1472506640
-560.010	-8.9948e-06	1472506645
-570.011	-1.2601e-05	1472506653
-580.028	-1.5583e-05	1472506658
-590.027	-1.8941e-05	1472506663
-600.043	-2.2822e-05	1472506668
