#
#--------LOG from Tue 06 Sep 2016 at 15h:37m:50s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+2.6222e-09	1473194078
  -9.966	-1.3260e-09	1473194083
 -19.946	-3.1948e-09	1473194088
 -29.943	-4.7069e-09	1473194093
 -39.937	-6.1477e-09	1473194098
 -49.935	-7.4641e-09	1473194103
 -59.916	-1.0285e-08	1473194108
 -69.914	-1.4527e-08	1473194113
 -79.927	-1.9010e-08	1473194118
 -89.924	-2.2783e-08	1473194123
 -99.938	-2.6659e-08	1473194128
-109.953	-2.9715e-08	1473194133
-119.964	-3.2863e-08	1473194138
-129.960	-3.5704e-08	1473194143
-139.975	-3.8778e-08	1473194148
-149.987	-4.1663e-08	1473194153
-159.985	-4.4888e-08	1473194158
-169.965	-4.8393e-08	1473194163
-179.962	-5.1760e-08	1473194168
-189.954	-5.5912e-08	1473194173
-199.952	-5.9763e-08	1473194178
-209.931	-6.4152e-08	1473194183
-219.928	-6.8225e-08	1473194188
-229.939	-7.3038e-08	1473194193
-239.954	-7.8151e-08	1473194198
-249.952	-8.3252e-08	1473194203
-259.968	-1.5176e-07	1473194208
-269.978	-1.6922e-06	1473194213
-279.975	-4.7045e-06	1473194218
-289.991	-8.9234e-06	1473194223
-300.007	-1.4687e-05	1473194229
-310.005	-2.1321e-05	1473194234
-319.985	-2.9540e-05	1473194239
-329.984	-3.9072e-05	1473194244
-339.978	-4.9746e-05	1473194249
-349.977	-6.1937e-05	1473194254
-359.958	-7.5952e-05	1473194259
-369.957	-9.2151e-05	1473194264
-370.225	-9.9999e-05	1473194269
