#
#--------LOG from Thu 29 Sep 2016 at 15h:02m:05s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+6.3268e-09	1475179024
  -9.967	+1.1879e-09	1475179029
 -19.948	-1.3138e-09	1475179034
 -29.944	-3.3395e-09	1475179039
 -39.938	-3.9238e-09	1475179044
 -49.936	-5.2918e-09	1475179049
 -59.915	-5.7233e-09	1475179054
 -69.913	-7.6348e-09	1475179059
 -79.927	-9.7713e-09	1475179064
 -89.924	-1.1819e-08	1475179069
 -99.940	-1.3841e-08	1475179074
-109.953	-1.5726e-08	1475179079
-119.965	-1.7867e-08	1475179084
-129.962	-1.9589e-08	1475179089
-139.976	-2.1672e-08	1475179094
-149.988	-2.2988e-08	1475179099
-159.986	-2.4516e-08	1475179104
-169.965	-2.5989e-08	1475179109
-179.962	-2.7367e-08	1475179114
-189.954	-2.8330e-08	1475179119
-199.951	-2.9304e-08	1475179124
-209.930	-3.0245e-08	1475179129
-219.927	-3.1051e-08	1475179134
-229.939	-3.1650e-08	1475179139
-239.954	-3.2379e-08	1475179144
-249.952	-3.3078e-08	1475179149
-259.968	-3.3434e-08	1475179154
-269.978	-3.3995e-08	1475179159
-279.974	-3.4308e-08	1475179164
-289.990	-3.4491e-08	1475179170
-300.006	-3.4719e-08	1475179175
-310.004	-3.4758e-08	1475179180
-319.983	-3.4765e-08	1475179185
-329.980	-3.5002e-08	1475179190
-339.973	-3.4849e-08	1475179195
-349.971	-3.6546e-08	1475179200
-359.950	-3.8680e-08	1475179205
-369.947	-3.7560e-08	1475179210
-379.954	-3.8583e-08	1475179215
-389.970	-3.7433e-08	1475179220
-399.968	-3.8626e-08	1475179225
-409.984	-4.2836e-08	1475179230
-419.994	-5.2111e-08	1475179235
-429.991	-4.6555e-08	1475179240
-440.007	-5.5184e-08	1475179245
-450.022	-5.8256e-08	1475179250
-460.021	-5.6189e-08	1475179255
-470.000	-6.3558e-08	1475179260
-479.997	-7.6598e-08	1475179265
-489.989	-7.2806e-08	1475179270
-499.985	-6.7551e-08	1475179275
-509.965	-7.7947e-08	1475179280
-519.962	-9.0722e-08	1475179285
-529.967	-9.0643e-08	1475179290
-539.984	-1.0489e-07	1475179295
-549.983	-1.0284e-07	1475179300
-559.999	-1.1476e-07	1475179305
-570.012	-1.3897e-07	1475179310
-580.028	-2.3929e-07	1475179315
-590.026	-4.2295e-07	1475179320
-600.042	-6.8093e-07	1475179325
