#
#--------LOG from Fri 09 Sep 2016 at 15h:03m:45s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	+4.9480e-09	1473451173
  -9.967	+5.5269e-10	1473451178
 -19.947	-9.5674e-10	1473451183
 -29.944	-2.8016e-09	1473451188
 -39.938	-4.4945e-09	1473451193
 -49.936	-5.7076e-09	1473451198
 -59.916	-7.2126e-09	1473451203
 -69.914	-1.0090e-08	1473451208
 -79.928	-1.2767e-08	1473451213
 -89.924	-1.5771e-08	1473451218
 -99.940	-1.8508e-08	1473451223
-109.954	-1.9928e-08	1473451228
-119.965	-2.2128e-08	1473451233
-129.962	-2.3181e-08	1473451238
-139.976	-2.3827e-08	1473451243
-149.988	-2.4688e-08	1473451248
-159.986	-2.5350e-08	1473451253
-169.965	-2.6296e-08	1473451258
-179.962	-2.6920e-08	1473451263
-189.955	-2.7704e-08	1473451268
-199.952	-2.8387e-08	1473451273
-209.931	-2.8699e-08	1473451278
-219.928	-2.9989e-08	1473451283
-229.939	-3.0617e-08	1473451288
-239.955	-3.1595e-08	1473451293
-249.953	-3.2170e-08	1473451298
-259.968	-3.2815e-08	1473451303
-269.979	-3.3889e-08	1473451308
-279.975	-3.4915e-08	1473451313
-289.990	-3.5718e-08	1473451318
-300.006	-3.6933e-08	1473451323
-310.004	-3.7666e-08	1473451328
-319.982	-3.8303e-08	1473451333
-329.980	-3.9309e-08	1473451338
-339.974	-3.0353e-07	1473451343
-349.971	-1.1618e-06	1473451348
-359.949	-2.3661e-06	1473451353
-369.947	-3.9917e-06	1473451358
-379.955	-6.1998e-06	1473451363
-389.972	-8.8536e-06	1473451368
-399.970	-1.2101e-05	1473451373
-409.986	-1.6508e-05	1473451378
-419.997	-2.1841e-05	1473451383
-429.994	-2.7928e-05	1473451388
-440.011	-3.4949e-05	1473451393
-450.027	-4.3183e-05	1473451398
-460.028	-5.2949e-05	1473451403
-470.007	-6.3891e-05	1473451408
-480.006	-7.6323e-05	1473451413
-490.000	-9.0394e-05	1473451419
-490.969	-9.9998e-05	1473451424
