#
#--------LOG from Tue 31 May 2016 at 14h:47m:46s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-1.5807e-11	1464723903
  -9.965	-4.5975e-09	1464723908
 -19.945	-6.9494e-09	1464723913
 -29.942	-8.8871e-09	1464723918
 -39.936	-1.0563e-08	1464723923
 -49.934	-1.2215e-08	1464723928
 -59.914	-1.3960e-08	1464723933
 -69.911	-2.2249e-08	1464723938
 -79.925	-3.3068e-08	1464723943
 -89.923	-4.0201e-08	1464723948
 -99.939	-4.4283e-08	1464723953
-109.953	-4.6684e-08	1464723958
-119.964	-4.8391e-08	1464723963
-129.962	-4.9912e-08	1464723968
-139.976	-5.1285e-08	1464723973
-149.988	-5.2540e-08	1464723978
-159.986	-5.3737e-08	1464723983
-169.965	-5.4913e-08	1464723988
-179.962	-5.6058e-08	1464723993
-189.954	-5.7209e-08	1464723998
-199.951	-6.0253e-08	1464724003
-209.930	-8.2690e-08	1464724008
-219.929	-2.1572e-07	1464724013
-229.946	-7.1806e-07	1464724018
-239.956	-2.6977e-06	1464724030
-249.952	-1.4346e-05	1464724039
-259.970	-3.3457e-05	1464724044
-269.982	-4.8776e-05	1464724049
-279.981	-6.6482e-05	1464724054
-289.999	-8.8512e-05	1464724059
-285.050	-9.9998e-05	1464724064
