#
#--------LOG from Wed 11 May 2016 at 15h:11m:29s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	+1.4561e-07	1462997315
  -9.968	-1.8287e-06	1462997327
 -19.947	-1.5149e-06	1462997332
 -29.946	-2.3765e-06	1462997337
 -39.941	-2.5782e-06	1462997342
 -49.939	-2.7222e-06	1462997348
 -59.918	-2.0375e-06	1462997353
 -69.915	-3.2732e-06	1462997358
 -79.928	-1.6677e-06	1462997363
 -89.924	-1.3324e-06	1462997368
 -99.940	-1.7755e-06	1462997373
-109.955	-1.8087e-06	1462997389
-119.962	-3.2442e-06	1462997394
-129.948	-3.1375e-06	1462997399
-139.959	-4.1974e-06	1462997404
-149.988	-1.6445e-06	1462997409
-159.986	-1.8369e-06	1462997414
-169.918	-4.4249e-06	1462997419
-179.962	-3.0545e-06	1462997424
-189.926	-3.3567e-06	1462997429
-199.953	-3.2236e-06	1462997434
-209.933	-2.3877e-06	1462997439
-205.583	-5.6054e-06	1462997444
-229.942	-2.8372e-06	1462997449
-239.956	-2.1873e-06	1462997455
-249.953	-1.9150e-06	1462997460
-259.846	-5.3297e-06	1462997465
-269.979	-2.9809e-05	1462997473
-279.824	-5.5749e-05	1462997478
-289.981	-8.4202e-05	1462997483
-294.743	-9.9998e-05	1462997488
