#
#--------LOG from Mon 16 May 2016 at 17h:24m:10s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-3.4869e-09	1463437272
  -9.965	-9.9244e-09	1463437277
 -19.944	-1.1658e-08	1463437282
 -29.941	-1.3084e-08	1463437287
 -39.935	-1.4195e-08	1463437292
 -49.932	-1.9688e-08	1463437297
 -59.912	-3.2629e-08	1463437302
 -69.911	-1.0721e-07	1463437307
 -79.925	-1.2592e-07	1463437312
 -89.923	-1.8466e-07	1463437317
 -99.939	-2.4205e-07	1463437322
-109.955	-2.8731e-07	1463437327
-119.968	-4.0777e-07	1463437332
-129.964	-3.5408e-07	1463437337
-139.978	-2.7892e-07	1463437342
-149.990	-2.5069e-07	1463437347
-159.987	-2.7114e-07	1463437352
-169.966	-2.0007e-07	1463437357
-179.963	-2.8127e-07	1463437362
-189.955	-2.4523e-07	1463437367
-199.951	-1.5715e-07	1463437372
-209.932	-2.9710e-07	1463437377
-219.933	-6.1530e-07	1463437382
-229.943	-5.5473e-07	1463437387
-239.954	-2.1556e-06	1463437400
-249.954	-4.0570e-06	1463437405
-259.974	-7.6939e-06	1463437410
-269.978	-1.6111e-05	1463437418
-279.975	-2.4911e-05	1463437423
-289.993	-3.6745e-05	1463437428
-300.010	-5.1537e-05	1463437434
-310.010	-7.0046e-05	1463437439
-319.991	-9.2259e-05	1463437444
-318.217	-9.9998e-05	1463437449
