#
#--------LOG from Mon 27 Jun 2016 at 18h:17m:10s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	-1.4182e-08	1467069272
  -9.967	-1.2384e-07	1467069277
 -19.949	-2.5037e-07	1467069282
 -29.948	-3.9813e-07	1467069287
 -39.944	-5.6980e-07	1467069292
 -49.945	-7.4496e-07	1467069297
 -59.927	-9.2704e-07	1467069302
 -69.914	-1.1094e-06	1467069315
 -79.928	-1.2603e-06	1467069320
 -89.924	-1.3999e-06	1467069325
 -99.941	-1.5407e-06	1467069330
-109.955	-1.6911e-06	1467069335
-119.966	-1.8432e-06	1467069340
-129.963	-2.0267e-06	1467069345
-139.977	-2.1613e-06	1467069350
-149.989	-2.2868e-06	1467069355
-159.987	-2.3783e-06	1467069360
-169.967	-2.4396e-06	1467069365
-179.964	-2.4933e-06	1467069370
-189.957	-2.5371e-06	1467069375
-199.954	-2.5604e-06	1467069380
-209.934	-3.1090e-06	1467069385
-219.938	-8.6721e-06	1467069390
-229.940	-1.8655e-05	1467069399
-239.957	-2.7698e-05	1467069404
-249.955	-3.7931e-05	1467069409
-259.972	-4.9881e-05	1467069414
-269.984	-6.4145e-05	1467069419
-279.983	-8.1410e-05	1467069424
-288.959	-9.9999e-05	1467069429
