#
#--------LOG from Wed 18 May 2016 at 16h:10m:09s ---------
#
#voltage(V)	current(A)	timestamp
  +0.032	+9.8146e-10	1463605492
  -9.966	-3.7055e-09	1463605497
 -19.946	-5.1325e-09	1463605502
 -29.943	-6.1445e-09	1463605507
 -39.937	-7.3332e-09	1463605512
 -49.935	-8.2090e-09	1463605517
 -59.914	-1.6030e-08	1463605522
 -69.912	-2.7175e-08	1463605527
 -79.925	-3.1208e-08	1463605532
 -89.923	-3.3359e-08	1463605537
 -99.938	-3.4897e-08	1463605542
-109.953	-3.5533e-08	1463605547
-119.965	-3.6311e-08	1463605552
-129.962	-3.7644e-08	1463605557
-139.976	-3.9454e-08	1463605562
-149.989	-3.9632e-08	1463605567
-159.986	-3.9357e-08	1463605572
-169.964	-4.0796e-08	1463605577
-179.962	-4.1823e-08	1463605582
-189.955	-4.1959e-08	1463605587
-199.951	-4.3124e-08	1463605592
-209.930	-4.4506e-08	1463605597
-219.927	-4.7319e-08	1463605602
-229.938	-4.8760e-08	1463605607
-239.954	-4.8498e-08	1463605612
-249.952	-5.4056e-08	1463605617
-259.967	-5.2998e-08	1463605622
-269.978	-6.1918e-08	1463605627
-279.974	-5.8580e-08	1463605632
-289.990	-6.3652e-08	1463605637
-300.005	-6.3425e-08	1463605642
-310.003	-6.3246e-08	1463605647
-319.982	-6.3453e-08	1463605652
-329.979	-6.6981e-08	1463605657
-339.971	-6.8440e-08	1463605662
-349.969	-8.7916e-08	1463605667
-359.948	-7.5299e-08	1463605672
-369.945	-8.8399e-08	1463605677
-379.953	-7.4650e-08	1463605682
-389.969	-9.3711e-08	1463605687
-399.967	-8.6134e-08	1463605692
-409.983	-9.3513e-08	1463605697
-419.994	-1.0099e-07	1463605702
-429.990	-9.6243e-08	1463605707
-440.007	-1.1187e-07	1463605712
-450.022	-1.4346e-07	1463605717
-460.021	-1.3083e-07	1463605722
-470.000	-1.7636e-07	1463605727
-479.997	-1.3616e-07	1463605732
-489.988	-1.5823e-07	1463605737
-499.987	-2.8134e-07	1463605742
-509.965	-2.6562e-07	1463605747
-519.962	-2.9000e-07	1463605752
-529.966	-2.0992e-07	1463605757
-539.985	-2.9737e-07	1463605762
-549.985	-3.9917e-07	1463605767
-560.006	-6.7916e-07	1463605772
-570.015	-5.0955e-07	1463605794
-577.172	-9.6334e-07	1463605799
-590.032	-5.5707e-07	1463605804
-600.049	-6.3517e-07	1463605809
