#
#--------LOG from Thu 26 May 2016 at 10h:06m:29s ---------
#
#voltage(V)	current(A)	timestamp
  +0.031	-1.0433e-08	1464274888
  -9.968	-8.2619e-08	1464274893
 -19.949	-1.2446e-07	1464274898
 -29.947	-1.5697e-07	1464274903
 -39.941	-1.8462e-07	1464274908
 -49.940	-2.0869e-07	1464274913
 -59.920	-2.3686e-07	1464274918
 -69.919	-2.5890e-07	1464274923
 -79.932	-2.7607e-07	1464274928
 -89.928	-2.9182e-07	1464274933
 -99.944	-3.0674e-07	1464274938
-109.958	-3.1981e-07	1464274943
-119.969	-3.3279e-07	1464274948
-129.965	-3.4534e-07	1464274953
-139.980	-3.5649e-07	1464274958
-149.992	-3.6858e-07	1464274963
-159.989	-3.7952e-07	1464274968
-169.969	-3.9013e-07	1464274973
-179.967	-4.0098e-07	1464274978
-189.960	-4.1211e-07	1464274983
-199.959	-4.2551e-07	1464274988
-209.938	-4.3355e-07	1464274993
-219.935	-4.4388e-07	1464274998
-229.946	-4.5401e-07	1464275003
-239.961	-4.6682e-07	1464275008
-249.959	-4.7915e-07	1464275013
-259.973	-4.9061e-07	1464275019
-269.984	-5.0465e-07	1464275024
-279.980	-5.1822e-07	1464275029
-289.995	-5.3054e-07	1464275034
-300.010	-5.4384e-07	1464275039
-310.009	-5.5940e-07	1464275044
-319.988	-5.7068e-07	1464275049
-329.986	-5.8385e-07	1464275054
-339.979	-5.9520e-07	1464275059
-349.976	-6.0852e-07	1464275064
-359.956	-6.2028e-07	1464275069
-369.953	-6.3123e-07	1464275074
-379.961	-6.4632e-07	1464275079
-389.976	-6.5776e-07	1464275084
-399.974	-6.6403e-07	1464275089
-409.989	-6.7305e-07	1464275094
-420.000	-6.8288e-07	1464275099
-429.997	-6.9191e-07	1464275104
-440.013	-7.0168e-07	1464275109
-450.027	-7.0886e-07	1464275114
-460.027	-7.1370e-07	1464275119
-470.005	-7.2091e-07	1464275124
-480.002	-7.3033e-07	1464275129
-489.995	-7.4005e-07	1464275134
-499.993	-7.4936e-07	1464275139
-509.972	-7.6416e-07	1464275144
-519.969	-7.7495e-07	1464275149
-529.975	-7.8618e-07	1464275154
-539.992	-8.0044e-07	1464275159
-549.990	-8.1758e-07	1464275164
-560.006	-8.3210e-07	1464275169
-570.018	-8.4596e-07	1464275174
-580.035	-8.6201e-07	1464275179
-590.033	-8.8212e-07	1464275184
-600.049	-8.9519e-07	1464275189
