Roc Number    Slope (e-/Vcal)     Offset (Vcal)    Chi2/NDf
ROC 0         45.79 +/- 5.1514       537             0.0409
ROC 1         47.76 +/- 5.19       507             0.0412
ROC 2         48.61 +/- 5.9902       512             1.5703
ROC 3         49.13 +/- 5.4017       675             0.0593
ROC 4         45.44 +/- 4.9543       558             0.0457
ROC 5         46.82 +/- 5.1325       712             0.0794
ROC 6         48.5 +/- 5.2509       692             0.0917
ROC 7         51.05 +/- 5.8467       683             0.0633
ROC 8         47.63 +/- 5.3215       680             0.101
ROC 9         50.32 +/- 5.6138       532             0.0897
ROC 10         50.25 +/- 5.5675       615             0.0514
ROC 11         50.1 +/- 5.5882       526             0.0725
ROC 12         50.28 +/- 5.7854       642             0.0614
ROC 13         45.73 +/- 4.8641       451             0.0508
ROC 14         51.5 +/- 5.9677       301             0.9462
ROC 15         49.68 +/- 5.2144       440             0.0688
