# IV test from Thu, 10 Mar 2016 15:39:38 -0600 (CST) + 30794000 nsec
#Test Parameters:
#   HV Supply:      Keithley2410
#   Voltage Start:  0
#   Voltage Stop:   600
#   Voltage Step:   5
#   Delay(s):       1
#   Compliance(uA): 100
#voltage(V)	current(A)	timestamp
  +0.000	-2.791861e-09	2016-03-10 21:39:38.030794000Z
  -5.000	-2.076885e-08	2016-03-10 21:39:39.645737000Z
 -10.000	-3.554412e-08	2016-03-10 21:39:41.239736001Z
 -15.000	-4.708698e-08	2016-03-10 21:39:42.833719000Z
 -20.000	-5.733521e-08	2016-03-10 21:39:44.425708000Z
 -25.000	-6.666737e-08	2016-03-10 21:39:46.020718001Z
 -30.000	-7.528426e-08	2016-03-10 21:39:47.620699001Z
 -35.000	-8.348668e-08	2016-03-10 21:39:49.214696001Z
 -40.000	-9.156728e-08	2016-03-10 21:39:50.808673000Z
 -45.000	-9.936855e-08	2016-03-10 21:39:52.407680001Z
 -50.000	-1.079493e-07	2016-03-10 21:39:54.001666000Z
 -55.000	-1.206335e-07	2016-03-10 21:39:55.595627000Z
 -60.000	-1.338804e-07	2016-03-10 21:39:57.190614000Z
 -65.000	-1.445930e-07	2016-03-10 21:39:58.787587001Z
 -70.000	-1.525305e-07	2016-03-10 21:40:00.381590000Z
 -75.000	-1.601939e-07	2016-03-10 21:40:01.981621000Z
 -80.000	-1.672567e-07	2016-03-10 21:40:03.580602001Z
 -85.000	-1.743259e-07	2016-03-10 21:40:05.173596000Z
 -90.000	-1.816019e-07	2016-03-10 21:40:06.767580000Z
 -95.000	-1.886328e-07	2016-03-10 21:40:08.362572000Z
-100.000	-1.952886e-07	2016-03-10 21:40:09.958559001Z
-105.000	-2.030162e-07	2016-03-10 21:40:11.552503001Z
-110.000	-2.103326e-07	2016-03-10 21:40:13.151506001Z
-115.000	-2.167953e-07	2016-03-10 21:40:14.747529001Z
-120.000	-2.245923e-07	2016-03-10 21:40:16.343484001Z
-125.000	-2.319078e-07	2016-03-10 21:40:17.938734000Z
-130.000	-2.395369e-07	2016-03-10 21:40:19.538496001Z
-135.000	-2.465412e-07	2016-03-10 21:40:21.134486001Z
-140.000	-2.545332e-07	2016-03-10 21:40:22.729473000Z
-145.000	-2.607794e-07	2016-03-10 21:40:24.325464000Z
-150.000	-2.689748e-07	2016-03-10 21:40:25.920467000Z
-155.000	-2.764745e-07	2016-03-10 21:40:27.514411001Z
-160.000	-2.839350e-07	2016-03-10 21:40:29.108421000Z
-165.000	-2.914866e-07	2016-03-10 21:40:30.703422000Z
-170.000	-2.987712e-07	2016-03-10 21:40:32.299380000Z
-175.000	-3.062419e-07	2016-03-10 21:40:33.893390000Z
-180.000	-3.135954e-07	2016-03-10 21:40:35.492363001Z
-185.000	-3.216763e-07	2016-03-10 21:40:37.090382000Z
-190.000	-3.294495e-07	2016-03-10 21:40:38.687373000Z
-195.000	-3.385862e-07	2016-03-10 21:40:40.282327000Z
-200.000	-3.453484e-07	2016-03-10 21:40:41.877345001Z
-205.000	-3.530622e-07	2016-03-10 21:40:43.476338001Z
-210.000	-3.605705e-07	2016-03-10 21:40:45.074328000Z
-215.000	-3.683866e-07	2016-03-10 21:40:46.669282001Z
-220.000	-3.765898e-07	2016-03-10 21:40:48.264285001Z
-225.000	-3.872909e-07	2016-03-10 21:40:49.859297001Z
-230.000	-3.933599e-07	2016-03-10 21:40:51.458289000Z
-235.000	-4.015390e-07	2016-03-10 21:40:53.053277001Z
-240.000	-4.096469e-07	2016-03-10 21:40:54.648243000Z
-245.000	-4.163425e-07	2016-03-10 21:40:56.245221001Z
-250.000	-4.249569e-07	2016-03-10 21:40:57.839215000Z
-255.000	-4.333643e-07	2016-03-10 21:40:59.434235001Z
-260.000	-4.423682e-07	2016-03-10 21:41:01.031228000Z
-265.000	-4.494206e-07	2016-03-10 21:41:02.626214001Z
-270.000	-4.581867e-07	2016-03-10 21:41:04.226202001Z
-275.000	-4.709819e-07	2016-03-10 21:41:05.822161001Z
-280.000	-4.835316e-07	2016-03-10 21:41:07.416181000Z
-285.000	-5.012076e-07	2016-03-10 21:41:09.010133000Z
-290.000	-5.461287e-07	2016-03-10 21:41:10.606159000Z
-295.000	-6.263511e-07	2016-03-10 21:41:12.217120000Z
-300.000	-6.619248e-07	2016-03-10 21:41:13.811144000Z
-305.000	-6.290259e-07	2016-03-10 21:41:15.406096000Z
-310.000	-6.776093e-07	2016-03-10 21:41:17.003122000Z
-315.000	-8.332069e-07	2016-03-10 21:41:18.597109000Z
-320.000	-8.875114e-07	2016-03-10 21:41:20.194079001Z
-325.000	-9.294781e-07	2016-03-10 21:41:21.789089000Z
-330.000	-1.648656e-06	2016-03-10 21:41:26.393024000Z
-335.000	-3.013094e-06	2016-03-10 21:41:27.988011000Z
-340.000	-4.772284e-06	2016-03-10 21:41:29.583996001Z
-345.000	-6.536884e-06	2016-03-10 21:41:31.183025000Z
-350.000	-8.652923e-06	2016-03-10 21:41:32.783020001Z
-355.000	-1.232733e-05	2016-03-10 21:41:35.882998000Z
-360.000	-1.442289e-05	2016-03-10 21:41:37.479953001Z
-365.000	-1.705585e-05	2016-03-10 21:41:39.079972001Z
-370.000	-1.980744e-05	2016-03-10 21:41:40.679940001Z
-375.000	-2.274954e-05	2016-03-10 21:41:42.274952000Z
-380.000	-2.586240e-05	2016-03-10 21:41:43.874942000Z
-385.000	-2.959227e-05	2016-03-10 21:41:45.471930001Z
-390.000	-3.355830e-05	2016-03-10 21:41:47.066877000Z
-395.000	-3.799776e-05	2016-03-10 21:41:48.661911000Z
-400.000	-4.324070e-05	2016-03-10 21:41:50.256880000Z
-405.000	-5.102214e-05	2016-03-10 21:41:51.850867000Z
-410.000	-5.945295e-05	2016-03-10 21:41:53.448841001Z
-415.000	-6.833988e-05	2016-03-10 21:41:55.050837000Z
-420.000	-7.788749e-05	2016-03-10 21:41:56.646864001Z
-425.000	-8.870059e-05	2016-03-10 21:41:58.246807000Z
-430.000	-9.999816e-05	2016-03-10 21:41:59.883804000Z
#Sweep was aborted on compliance
