#
#--------LOG from Wed 09 Mar 2016 at 15h:19m:32s ---------
#
#voltage(V)	current(A)	timestamp
  +0.033	-6.0844e-10	1457558063
  -9.965	-5.2143e-09	1457558068
 -19.945	-8.0438e-09	1457558073
 -29.942	-1.3894e-08	1457558078
 -39.935	-1.8249e-08	1457558083
 -49.932	-2.3685e-08	1457558088
 -59.912	-3.5012e-08	1457558093
 -69.910	-4.9419e-08	1457558098
 -79.924	-6.1026e-08	1457558103
 -89.921	-6.9974e-08	1457558108
 -99.937	-7.7818e-08	1457558113
-109.952	-8.2472e-08	1457558118
-119.963	-8.8928e-08	1457558123
-129.961	-9.5245e-08	1457558128
-139.976	-1.0324e-07	1457558133
-149.988	-1.0900e-07	1457558138
-159.986	-1.1516e-07	1457558143
-169.964	-1.1015e-07	1457558148
-179.962	-1.2175e-07	1457558153
-189.954	-1.3334e-07	1457558158
-199.951	-1.5630e-07	1457558163
-209.929	-1.7201e-07	1457558168
-219.926	-1.7707e-07	1457558173
-229.937	-1.8376e-07	1457558178
-239.953	-1.9579e-07	1457558183
-249.952	-2.0379e-07	1457558188
-259.967	-2.1460e-07	1457558193
-269.978	-2.4058e-07	1457558198
-279.975	-2.5799e-07	1457558203
-289.991	-2.6888e-07	1457558208
-300.006	-2.7001e-07	1457558213
-310.004	-2.9797e-07	1457558218
-319.983	-3.2430e-07	1457558223
-329.981	-4.1994e-07	1457558228
-339.974	-4.5241e-07	1457558233
-349.973	-5.2897e-07	1457558238
-359.952	-6.4956e-07	1457558243
-369.949	-6.9094e-07	1457558248
-379.957	-6.9535e-07	1457558253
-389.974	-7.4988e-07	1457558258
-399.973	-7.9229e-07	1457558263
-409.989	-8.4996e-07	1457558268
-420.000	-8.3613e-07	1457558273
-429.997	-7.4698e-07	1457558278
-440.014	-8.8082e-07	1457558284
-450.020	-1.1299e-06	1457558297
-460.019	-1.2555e-06	1457558302
-469.996	-1.3717e-06	1457558307
-479.994	-1.4834e-06	1457558312
-489.986	-1.7024e-06	1457558317
-499.983	-1.9224e-06	1457558322
-509.961	-2.0719e-06	1457558327
-519.958	-2.1294e-06	1457558332
-529.963	-2.0825e-06	1457558337
-539.981	-1.9227e-06	1457558342
-549.980	-2.0646e-06	1457558347
-559.997	-2.2602e-06	1457558352
-570.010	-2.3790e-06	1457558357
-580.027	-2.5173e-06	1457558362
-590.025	-2.2521e-06	1457558367
-600.042	-2.1165e-06	1457558372
