#
#--------LOG from Wed 13 Apr 2016 at 15h:23m:51s ---------
#
#voltage(V)	current(A)	timestamp
  +0.034	-2.9972e-08	1460578723
  -9.965	-1.5862e-07	1460578728
 -19.946	-2.2574e-07	1460578733
 -29.944	-2.7768e-07	1460578738
 -39.937	-3.2160e-07	1460578743
 -49.936	-3.6017e-07	1460578748
 -59.915	-3.9987e-07	1460578753
 -69.913	-4.4148e-07	1460578758
 -79.927	-4.7678e-07	1460578763
 -89.925	-5.0886e-07	1460578768
 -99.941	-5.3959e-07	1460578773
-109.956	-5.6972e-07	1460578778
-119.968	-6.0011e-07	1460578783
-129.965	-6.3067e-07	1460578788
-139.981	-6.6267e-07	1460578793
-149.993	-6.9562e-07	1460578798
-159.991	-7.2920e-07	1460578803
-169.971	-7.6356e-07	1460578808
-179.968	-7.9775e-07	1460578813
-189.961	-8.3347e-07	1460578818
-199.958	-8.6957e-07	1460578823
-209.937	-9.0501e-07	1460578828
-219.934	-9.4195e-07	1460578833
-229.946	-9.7854e-07	1460578838
-239.962	-1.0149e-06	1460578843
-249.949	-1.0543e-06	1460578855
-259.964	-1.0901e-06	1460578860
-269.975	-1.1258e-06	1460578865
-279.971	-1.1589e-06	1460578870
-289.988	-1.1938e-06	1460578875
-300.003	-1.2276e-06	1460578881
-310.000	-1.2600e-06	1460578886
-319.980	-1.2928e-06	1460578891
-329.977	-1.3254e-06	1460578896
-339.969	-1.3574e-06	1460578901
-349.967	-1.3964e-06	1460578906
-359.945	-1.4242e-06	1460578911
-369.941	-1.4555e-06	1460578916
-379.950	-1.5185e-06	1460578921
-389.966	-1.5344e-06	1460578926
-399.964	-1.5562e-06	1460578931
-409.979	-1.6085e-06	1460578936
-419.991	-1.6337e-06	1460578941
-429.988	-1.6658e-06	1460578946
-440.004	-1.7040e-06	1460578951
-450.019	-1.7472e-06	1460578956
-460.018	-1.8047e-06	1460578961
-469.995	-1.8364e-06	1460578966
-479.993	-1.8888e-06	1460578971
-489.985	-1.9173e-06	1460578976
-499.981	-1.9708e-06	1460578981
-509.960	-2.0126e-06	1460578986
-519.956	-2.0389e-06	1460578991
-529.962	-2.0762e-06	1460578996
-539.980	-2.1224e-06	1460579001
-549.979	-2.1601e-06	1460579006
-559.996	-2.2120e-06	1460579011
-570.009	-2.2430e-06	1460579016
-580.025	-2.2869e-06	1460579021
-590.024	-2.3495e-06	1460579026
-600.041	-2.3727e-06	1460579031
